"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","86->437","2","0.0|0.01976831","","86->437","0.0","0.0","false",,"86->437","2.0"
"correl_pearson|dist_bray","6.0","14.0",,"copresence","224->248","2","0.0|0.04235704","","224->248","0.0","0.0","false",,"224->248","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","387->197","2","0.0867449|0.9860250654539107","","387->197","0.0","0.0","false",,"387->197","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","320->295","2","0.04109589|0.9974983280883937","","320->295","0.0","0.0","false",,"320->295","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","441->345","2","0.9966767780932756|0.05292627","","441->345","0.0","0.0","false",,"441->345","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","323->160","2","0.06289903|0.9972547012875591","","323->160","0.0","0.0","false",,"323->160","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","93->66","2","0.9959366127507271|0.08012689","","93->66","0.0","0.0","false",,"93->66","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","289->417","2","0.0|0.0998231","","289->417","0.0","0.0","false",,"289->417","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","234->320","2","0.0|0.08482304","","234->320","0.0","0.0","false",,"234->320","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","234->385","2","0.0|0.07520688","","234->385","0.0","0.0","false",,"234->385","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","292->203","2","0.03238866|0.9987235139470482","","292->203","0.0","0.0","false",,"292->203","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","408->199","2","0.9978216805763157|0.08398012","","408->199","0.0","0.0","false",,"408->199","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","347->171","2","0.9860246174903705|0.08916831","","347->171","0.0","0.0","false",,"347->171","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","347->170","2","0.09057172|0.9855622620939802","","347->170","0.0","0.0","false",,"347->170","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","42->23","2","0.0346547|0.9986415002693284","","42->23","0.0","0.0","false",,"42->23","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","95->366","2","0.0|0.09361","","95->366","0.0","0.0","false",,"95->366","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","181->296","2","0.0|0.00883621","","181->296","0.0","0.0","false",,"181->296","2.0"
"correl_pearson|dist_bray","1.0","4.0",,"copresence","320->385","2","0.0|0.04109589","","320->385","0.0","0.0","false",,"320->385","2.0"
"correl_pearson|dist_bray","20.0","87.0",,"copresence","300->62","2","0.0|0.9999999999999969","","300->62","0.0","0.0","false",,"300->62","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","182->145","2","0.9998788853866679|0.01079629","","182->145","0.0","0.0","false",,"182->145","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","429->219","2","0.07974138|0.9941907887886822","","429->219","0.0","0.0","false",,"429->219","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","237->446","2","0.0|0.04995035","","237->446","0.0","0.0","false",,"237->446","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","363->302","2","0.9866362279568844|0.09346094","","363->302","0.0","0.0","false",,"363->302","2.0"
"correl_pearson|dist_bray","3.0","10.0",,"copresence","120->186","2","0.0|0.02857459","","120->186","0.0","0.0","false",,"120->186","2.0"
"correl_pearson|dist_bray","3.0","10.0",,"copresence","224->135","2","0.00494193|0.9999513976558477","","224->135","0.0","0.0","false",,"224->135","2.0"
"correl_pearson|dist_bray","3.0","16.0",,"copresence","208->228","2","0.0|0.02797364","","208->228","0.0","0.0","false",,"208->228","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","435->417","2","0.08658893|0.9899654232304679","","435->417","0.0","0.0","false",,"435->417","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","158->203","2","0.0|0.08156028","","158->203","0.0","0.0","false",,"158->203","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","181->329","2","0.0|0.00702918","","181->329","0.0","0.0","false",,"181->329","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","142->188","2","0.0|0.06379395","","142->188","0.0","0.0","false",,"142->188","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","333->136","2","0.06423249|0.9917053320877612","","333->136","0.0","0.0","false",,"333->136","2.0"
"correl_pearson|dist_bray","1.0","3.0",,"copresence","45->42","2","0.06315906|0.9957158450477342","","45->42","0.0","0.0","false",,"45->42","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","385->359","2","0.9998400581304444|0.01121836","","385->359","0.0","0.0","false",,"385->359","2.0"
"correl_pearson|dist_bray","3.0","10.0",,"copresence","120->218","2","0.0|0.07185636","","120->218","0.0","0.0","false",,"120->218","2.0"
"correl_pearson|dist_bray","11.0","59.0",,"copresence","62->30","2","0.0|0.9999999999999984","","62->30","0.0","0.0","false",,"62->30","2.0"
"correl_pearson|dist_bray","1.0","1.0",,"copresence","48->410","2","0.0|0.07260201","","48->410","0.0","0.0","false",,"48->410","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","128->191","2","0.0|0.01585678","","128->191","0.0","0.0","false",,"128->191","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","412->302","2","0.9981909584419368|0.02956979","","412->302","0.0","0.0","false",,"412->302","2.0"
"correl_pearson|dist_bray","2.0","17.0",,"copresence","100->75","2","0.0|1.0","","100->75","0.0","0.0","false",,"100->75","2.0"
"correl_pearson|dist_bray","3.0","6.0",,"copresence","416->243","2","0.073107|0.994079123063206","","416->243","0.0","0.0","false",,"416->243","2.0"
"correl_pearson|dist_bray","1.0","2.0",,"copresence","412->363","2","0.9934010985361038|0.06389114","","412->363","0.0","0.0","false",,"412->363","2.0"
