abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,Phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
6673,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,5.172093699466209E-242,Phaeosphaeriaceae,Phaeosphaeriaceae,0,FALSE,Fungi,404,,Unclustered,0,404,0,1,Pleosporales,404,1,0,Ascomycota,1,0.001683502,2,FALSE,0,404,d1dc43e8749c4e087c12f05589894346,0,0
6147,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,1.3364234894648424E-290,Pleosporaceae,Curvularia,1,FALSE,Fungi,284,,Unclustered,0,284,0,1,Pleosporales,284,0,0,Ascomycota,1,0.001680672,4,FALSE,0,284,78380f34b0cc0fe75299bc0ad51932da,0,0
233,1,0,0,0,-1,Alphaproteobacteria,1,1,0,1,1,1,4.376924140364245E-196,Beijerinckiaceae,Beijerinckiaceae,0,FALSE,Bacteria,117,,Unclustered,0,117,0,2,Rhizobiales,117,1,0,Proteobacteria,1,0.001683502,2,FALSE,0,117,fbfc4f21c44d1d884b79e1e06505a8cd,0,0
464,0,0,0,0,0,Dothideomycetes,0,0,0,2,0,2,-4.74E-290,Didymellaceae,Didymellaceae,2,FALSE,Fungi,219,,Unclustered,0.6666666666666666,219,0,1.5,Pleosporales,219,0,0,Ascomycota,2,0.001680672,4,FALSE,0,219,474ff99d47d8a06fd5a3d5897a57331f,0,0
101,1.3333333333333333,3,0.3333333333333333,0.32727272727272727,-6,Gammaproteobacteria,5,0.75,0.05,5,2,5,1.9219150585194194E-134,Enterobacteriaceae,Enterobacteriaceae,1,FALSE,Bacteria,100,Cluster 3,Clustered,2,100,0,3,Enterobacterales,100,4,0,Proteobacteria,5,0.001694915,1,FALSE,0,100,d7e8405ccf6f52110d82c4645d9116d3,32,0
117,2.6,0.5,0.0625,0.625,-5,Gammaproteobacteria,2.4166666666666665,0.3846153846153846,0,2,4,2,-1.65E-274,Halomonadaceae,Kushneria,1,FALSE,Bacteria,116,,Unclustered,0.6666666666666666,116,0,5,Oceanospirillales,116,1,0,Proteobacteria,2,0.001687526,1,FALSE,0,116,f718c1a342e852e91c9bb983501d9df2,9,0
572,1.5,0,0,0,-4,Dothideomycetes,3,0.6666666666666666,0,2,2,2,9.713335075394345E-258,Botryosphaeriaceae,Botryosphaeria,0,FALSE,Fungi,416,,Unclustered,0.6666666666666666,416,0,2,Botryosphaeriales,416,2,0,Ascomycota,2,0.001689189,2,FALSE,0,416,de39948a0a9d4a7c81e928a89c43820c,0,0
497,0,0,0,0,0,Microbotryomycetes,0,0,0,1,0,1,-2.12E-122,Sporidiobolaceae,Rhodotorula,1,FALSE,Fungi,386,,Unclustered,0,386,0,2,Sporidiobolales,386,0,0,Basidiomycota,1,0.001680672,2,FALSE,0,386,c1696768f1fb5f80b94fbf0d4b825bc0,0,0
288,1,0,0,0,-1,Sordariomycetes,1,1,0.5,2,1,2,4.798006815320804E-292,Xylariales_fam_Incertae_sedis,Hansfordia,1,FALSE,Fungi,171,Cluster 6,Clustered,2,171,0,2,Xylariales,171,1,0,Ascomycota,2,0.001683502,2,FALSE,0,171,229c5ae12893f07b25e279446e26f110,0,0
287,0,0,0,0,0,Eurotiomycetes,0,0,0.5,2,0,2,0,Phaeomoniellaceae,Neophaeomoniella,2,FALSE,Fungi,170,Cluster 6,Clustered,2,170,0,2,Phaeomoniellales,170,0,0,Ascomycota,2,0.001680672,2,FALSE,0,170,21df5629f1bc937e81153ddb155aa9ac,0,0
505,1,0,0,0,-2,Exobasidiomycetes,2,1,0.5,4,1,4,5.430477351085044E-292,Brachybasidiaceae,Meira,2,FALSE,Fungi,385,Cluster 1,Clustered,4,385,0,4,Exobasidiales,385,2,0,Basidiomycota,4,0.001686341,2,TRUE,0,385,c115bb4bbe340a98916b2f7bf44e9e18,0,0
402,1,0,0,0,-1,Dothideomycetes,1,1,0.5,4,1,4,1.0442416705120793E-210,Capnodiales,Capnodiales,3,FALSE,Fungi,295,Cluster 1,Clustered,4,295,0,4,Capnodiales,295,1,0,Ascomycota,4,0.001683502,2,TRUE,0,295,812bc94ede90d54cb77b7d48fe0852d3,0,0
340,1,0,0,0,-1,Exobasidiomycetes,1,1,0,1,1,1,-6.22E-286,Microstromatales_fam_Incertae_sedis,Pseudomicrostroma,0,FALSE,Fungi,134,,Unclustered,0,134,0,1,Microstromatales,134,1,0,Basidiomycota,1,0.001683502,2,FALSE,0,134,0c8b9e71786ea2204c1ed8edee985a20,0,0
324,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,8.30165866889889E-292,Dothioraceae,Pseudoseptoria,1,FALSE,Fungi,125,,Unclustered,0,125,0,1,Dothideales,125,0,0,Ascomycota,1,0.001680672,2,FALSE,0,125,062dd526c210c02519cf23c92b557cbb,0,0
568,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,-7.00E-277,Nectriaceae,Fusarium,0,FALSE,Fungi,193,,Unclustered,0,193,0,1,Hypocreales,193,1,0,Ascomycota,1,0.001683502,2,FALSE,0,193,352d386293a59777de3e3e6a91f58466,0,0
687,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,7.69722948617052E-249,Microdochiaceae,Microdochium,1,FALSE,Fungi,205,,Unclustered,0,205,0,1,Xylariales,205,0,0,Ascomycota,1,0.001680672,3,FALSE,0,205,3a0771100aea891eae2aa4389f26e54b,0,0
416,1.3333333333333333,2,0.16666666666666666,0.6153846153846154,-3,Tremellomycetes,2.5,0.75,0,3,2,3,3.9176848840116497E-284,Trimorphomycetaceae,Saitozyma,1,FALSE,Fungi,264,Cluster 7,Clustered,0.5,264,0,3,Tremellales,264,2,0,Basidiomycota,3,0.001687764,2,FALSE,0,264,687466c5de3b0b398cb82aa1b83d2042,14,0
49810,1,1,0.5,0.25,-1,Tremellomycetes,1,1,0,2,1,2,1.6232169978557443E-293,Rhynchogastremataceae,Papiliotrema,1,FALSE,Fungi,350,,Unclustered,0.6666666666666666,350,0,1,Tremellales,350,1,0,Basidiomycota,2,0.001683502,5,FALSE,0,350,a23058b29dd2b51640800fbae2baba6c,1,0
6637,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,1,1.4166664361417755E-172,Aureobasidiaceae,Aureobasidium,1,FALSE,Fungi,418,,Unclustered,0,418,0,2,Dothideales,418,0,0,Ascomycota,1,0.001680672,4,FALSE,0,418,e28fb35c63dd812e9cde60d725337a1e,0,0
112,2.25,7.5,0.6597222222222222,3.846153846153846,-4,Gammaproteobacteria,2.1666666666666665,0.4444444444444444,0,3,3,3,-6.04E-150,Oxalobacteraceae,Massilia,2,FALSE,Bacteria,111,,Unclustered,0.5,111,0,4.666666666666667,Burkholderiales,111,1,0,Proteobacteria,3,0.001686815,1,FALSE,0,111,e57c5df6a9b3b982472e7754ed31f313,52,0
614,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,-2.09E-292,Bartaliniaceae,Bartaliniaceae,1,FALSE,Fungi,348,,Unclustered,0,348,0,3,Xylariales,348,0,0,Ascomycota,1,0.001680672,2,FALSE,0,348,a1d709b7370e0fafbc67a4a15105daa2,0,0
239,1,1,0.071428571,0.8571428571428572,-1,Dothideomycetes,1,1,0,2,1,2,-5.91E-287,Didymellaceae,Epicoccum,1,FALSE,Fungi,135,,Unclustered,0.6666666666666666,135,0,3.5,Pleosporales,135,1,0,Ascomycota,2,0.001683502,2,FALSE,0,135,0cb309e4f0ed7c65d62f0faeed1f3c24,3,0
888,1,0,0,0,-2,Dothideomycetes,2,1,0,2,1,2,7.69722948617052E-249,Dothideales_fam_Incertae_sedis,Selenophoma,0,FALSE,Fungi,429,,Unclustered,0.6666666666666666,429,0,1.5,Dothideales,429,2,0,Ascomycota,2,0.001686341,2,FALSE,0,429,ecbc5a28b2c934708b739622f4b7b4f7,0,0
832,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,2.8486671437719303E-123,Diaporthaceae,Diaporthe,1,FALSE,Fungi,433,,Unclustered,0,433,0,2,Diaporthales,433,0,0,Ascomycota,1,0.001680672,2,FALSE,0,433,ee204c2447ecc91feb3daf072b38edb6,0,0
33,2.6,0,0,0,-5,Gammaproteobacteria,2.4166666666666665,0.3846153846153846,0,1,4,1,-4.41E-277,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,32,,Unclustered,0,32,0,5,Pseudomonadales,32,1,0,Proteobacteria,1,0.001687526,1,FALSE,0,32,43fddf1528d4a98928fd8c3a8ac23bfd,0,0
372,1,2,0.2,0.3333333333333333,-2,Dothideomycetes,2,1,0,3,1,3,0,Cladosporiaceae,Cladosporium,1,FALSE,Fungi,243,,Unclustered,0.5,243,0,1.6666666666666667,Capnodiales,243,2,0,Ascomycota,3,0.001686341,3,FALSE,0,243,550215984abda5f59ef55299f115b31b,4,0
425,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,4.774654512002669E-289,Sporocadaceae,Pestalotiopsis,1,FALSE,Fungi,282,,Unclustered,0,282,0,3,Xylariales,282,0,0,Ascomycota,1,0.001680672,2,FALSE,0,282,764963d63e736561fbf3e7e7baceb754,0,0
627,1,0,0,0,-2,Sordariomycetes,2,1,0.5,2,1,2,-2.87E-84,Chaetosphaeriaceae,Dinemasporium,0,FALSE,Fungi,445,Cluster 2,Clustered,2,445,0,3,Chaetosphaeriales,445,2,0,Ascomycota,2,0.001686341,2,FALSE,0,445,f8bf73d5b5ab2c5c9f53617a72f005bd,0,0
480,0,0,0,0,0,Tremellomycetes,0,0,0.3333333333333333,3,0,3,6.347881503290663E-278,Rhynchogastremataceae,Papiliotrema,3,FALSE,Fungi,296,Cluster 2,Clustered,1.6666666666666667,296,0,2.3333333333333335,Tremellales,296,0,0,Basidiomycota,3,0.001680672,2,FALSE,0,296,82917d9aa9fecd9973d28234f53c885b,0,0
358,1,2,0.23809523809523808,0.6666666666666666,-1,Sordariomycetes,1,1,0,3,1,3,1.6715671121036277E-277,Sporocadaceae,Neopestalotiopsis,2,FALSE,Fungi,208,Cluster 7,Clustered,0.5,208,0,3,Xylariales,208,1,0,Ascomycota,3,0.001683502,2,FALSE,0,208,3af88a3c7bea639046a4cc0112c2f6b9,10,0
936,1.5,0,0,0,-2,Gammaproteobacteria,1.5,0.6666666666666666,0,1,2,1,-4.45E-188,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,87,,Unclustered,0,87,0,2,Pseudomonadales,87,1,0,Proteobacteria,1,0.00168492,2,FALSE,0,87,c10442f1117bbfe857fcc8b57429324e,0,0
404,1.3333333333333333,2,0.16666666666666666,0.6153846153846154,-3,Dothideomycetes,2.5,0.75,0,3,2,3,5.172093699466209E-242,Didymellaceae,Didymella,1,FALSE,Fungi,248,Cluster 7,Seed,0.5,248,0,3,Pleosporales,248,2,0,Ascomycota,3,0.001687764,2,FALSE,0,248,5799d27664ea2d8ecfb09421410c6f58,14,0
213,1,0,0,0,-1,Actinobacteria,1,1,0,1,1,1,0.7071067811865475,Tsukamurellaceae,Tsukamurella,0,FALSE,Bacteria,20,,Unclustered,0,20,0,1,Corynebacteriales,20,1,0,Actinobacteriota,1,0.001683502,3,FALSE,0,20,31e139f7528db0f6fa415a3084cb56c9,0,0
3890,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,1,-6.25E-275,Hypocreales_fam_Incertae_sedis,Sarocladium,1,FALSE,Fungi,444,,Unclustered,0,444,0,1,Hypocreales,444,0,0,Ascomycota,1,0.001680672,3,FALSE,0,444,f78cd9c16b8fb52115d52532e47e447d,0,0
35,3,0,0,0,-5,Actinobacteria,2.283333333333333,0.3333333333333333,0.5,2,5,2,-1.36E-134,Microbacteriaceae,Microbacteriaceae,1,FALSE,Bacteria,34,Cluster 3,Clustered,2,34,0,4,Micrococcales,34,1,0,Actinobacteriota,2,0.001687147,1,FALSE,0,34,453cf07d3e96e304f23fbde7b355fe70,0,0
3650,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,-2.20E-275,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,71,,Unclustered,0,71,0,1,Pseudomonadales,71,1,0,Proteobacteria,1,0.001683502,7,FALSE,0,71,9d30df1c09b60bb791f16b9f769c6335,0,0
18444,0,0,0,0,0,Bacteria,0,0,0,1,0,1,-1.15E-198,Bacteria,Bacteria,1,FALSE,Bacteria,102,,Unclustered,0,102,0,1,Bacteria,102,0,0,Bacteria,1,0.001680672,8,FALSE,0,102,da4b4ceac6934222f0b9cc84433e5338,0,0
520,1,0,0,0,-1,Dothideomycetes,1,1,0.3333333333333333,3,1,3,-3.75E-259,Pleosporaceae,Bipolaris,2,FALSE,Fungi,329,Cluster 2,Clustered,1.6666666666666667,329,0,2.3333333333333335,Pleosporales,329,1,0,Ascomycota,3,0.001683502,2,FALSE,0,329,925c1912dc5a32e47efb19c2ff4917a7,0,0
341,1,0,0,0,-4,Dothideomycetes,4,1,0.5,4,1,4,-4.20E-274,Botryosphaeriaceae,Tiarosporella,0,FALSE,Fungi,234,Cluster 1,Seed,4,234,0,4,Botryosphaeriales,234,4,0,Ascomycota,4,0.001692047,2,TRUE,0,234,5180d6832750edd9455229294296e089,0,0
