"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","3.0","20.0","","copresence","217->150","2","0.02334037|0.998881839922223","","217->150","0.0","0.0","true","","217->150","2.0"
"correl_pearson|dist_bray","2.0","6.0","","copresence","405->361","2","0.9879373818455204|0.09098183","","405->361","0.0","0.0","true","","405->361","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","405->389","2","0.05363438|0.9960296592185691","","405->389","0.0","0.0","true","","405->389","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","405->428","2","0.0|0.03703986","","405->428","0.0","0.0","true","","405->428","2.0"
"correl_pearson|dist_bray","4.0","4.0","","copresence","198->395","2","0.0|0.07706626","","198->395","0.0","0.0","false","","198->395","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","198->237","2","0.0|0.05171724","","198->237","0.0","0.0","true","","198->237","2.0"
"correl_pearson|dist_bray","2.0","2.5","","copresence","198->246","2","0.0|0.03790264","","198->246","0.0","0.0","true","","198->246","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","198->303","2","0.0|0.04503387","","198->303","0.0","0.0","true","","198->303","2.0"
"correl_pearson|dist_bray","7.0","8.0","","copresence","198->272","2","0.0|0.0147978","","198->272","0.0","0.0","false","","198->272","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","198->315","2","0.0|0.09613542","","198->315","0.0","0.0","true","","198->315","2.0"
"correl_pearson|dist_bray","2.0","1.75","","copresence","198->282","2","0.01767388|0.0","","198->282","0.0","0.0","true","","198->282","2.0"
"correl_pearson|dist_bray","2.0","2.0","","copresence","198->340","2","0.0|0.04076791","","198->340","0.0","0.0","true","","198->340","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","425->373","2","0.00692087|0.9999440089292198","","425->373","0.0","0.0","true","","425->373","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","425->384","2","0.03698224|0.998276645997129","","425->384","0.0","0.0","true","","425->384","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","234->368","2","0.0|0.09859155","","234->368","0.0","0.0","true","","234->368","2.0"
