"abundance","ASV","ASVNumber","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","Genus","Indegree","IsSingleNode","Kingdom","Label","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"659.0","Cytospora","9ca3105a117897b37ca2a3f811964073","1.0","0.0","Sordariomycetes","1.0","0.0","2","1","2","Valsaceae","0","false","Fungi","442","442","0","2.0","Diaporthales","442","2","1","Ascomycota","2","3","false","0","442","0","0"
"442.0","Caulobacteraceae","caa610fd9428bca7e15a538a9b80c26a","2.5","0.0","Alphaproteobacteria","0.4","0.0","2","4","2","Caulobacteraceae","1","false","Bacteria","229","229","0","4.0","Caulobacterales","229","1","1","Proteobacteria","2","2","false","0","229","0","0"
"640.0","Rosellinia","e9a196fbd99e218452df51a2cc62e00a","2.0","0.0","Sordariomycetes","0.5","1.0","4","3","4","Xylariaceae","2","false","Fungi","495","495","0","2.5","Xylariales","495","2","2","Ascomycota","4","4","false","0","495","0","0"
"575.0","Rosellinia","4d9d1a912010cfaccee2c1f918d3b3ff","4.333333333333333","0.0","Sordariomycetes","0.23076923076923078","0.0","2","7","2","Xylariaceae","0","false","Fungi","371","371","0","2.0","Xylariales","371","2","1","Ascomycota","2","4","false","0","371","0","0"
"772.0","Beijerinckiaceae","f595fccfcd1db925b951905095797142","2.0","1.1666666666666665","Alphaproteobacteria","0.5","0.6666666666666666","6","3","6","Beijerinckiaceae","5","false","Bacteria","287","287","0","3.3333333333333335","Rhizobiales","287","1","3","Proteobacteria","6","3","false","0","287","14","0"
"274.0","Acidipila","76566c5c59d91344308b7d40d21bb19f","1.0","0.0","Acidobacteriae","1.0","0.0","2","1","2","Acidobacteriaceae_(Subgroup_1)","0","false","Bacteria","125","125","0","1.0","Acidobacteriales","125","2","1","Acidobacteriota","2","3","false","0","125","0","0"
"677.0","Fusarium","1cfed5ec88a3950b146bd54d22797e37","0.0","0.0","Sordariomycetes","0.0","0.0","2","0","2","Nectriaceae","2","false","Fungi","328","328","0","1.0","Hypocreales","328","0","1","Ascomycota","2","2","false","0","328","0","0"
"292.0","Rhizobiaceae","01eb048de56826af7defb3397874e368","4.714285714285714","0.0","Alphaproteobacteria","0.21212121212121213","1.0","8","9","8","Rhizobiaceae","5","false","Bacteria","3","3","0","5.25","Rhizobiales","3","3","4","Proteobacteria","8","2","false","0","3","0","0"
"567.0","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","a9164d01308501b576afa06256a15b0f","1.0","0.0","Alphaproteobacteria","1.0","1.0","4","1","4","Rhizobiaceae","0","false","Bacteria","184","184","0","2.0","Rhizobiales","184","4","2","Proteobacteria","4","2","false","0","184","0","0"
"11027.0","Curtobacterium","60a8843517f35173407a9d146488e1ac","1.0","0.0","Actinobacteria","1.0","0.0","2","1","2","Microbacteriaceae","0","false","Bacteria","103","103","0","1.0","Micrococcales","103","2","1","Actinobacteriota","2","8","false","0","103","0","0"
"777.0","Bryocella","38ff6a0d927575e1d4dfc646197d5eac","0.0","0.0","Acidobacteriae","0.0","0.0","2","0","2","Acidobacteriaceae_(Subgroup_1)","2","false","Bacteria","61","61","0","1.0","Acidobacteriales","61","0","1","Acidobacteriota","2","2","false","0","61","0","0"
"491.0","Pestalotiopsis","303e9ab3e4d83037ad04ac4dc6ac3750","1.0","0.0","Sordariomycetes","1.0","0.0","2","1","2","Sporocadaceae","0","false","Fungi","341","341","0","2.0","Xylariales","341","2","1","Ascomycota","2","4","false","0","341","0","0"
"509.0","Coniophora","6d20e795b331872f769945fa2e51a7c0","1.5","0.0","Agaricomycetes","0.6666666666666666","0.0","2","2","2","Coniophoraceae","0","false","Fungi","404","404","0","2.0","Boletales","404","2","1","Basidiomycota","2","5","false","0","404","0","0"
"951.0","Teratosphaeria","b346a9f7e6e1f4a5d458dd9afc4489ee","1.0","0.0","Dothideomycetes","1.0","0.0","2","1","2","Teratosphaeriaceae","0","false","Fungi","459","459","0","1.0","Capnodiales","459","2","1","Ascomycota","2","4","false","0","459","0","0"
"628.0","Trichoderma","0a9208a42f7727fb966efea094d574d4","0.0","0.0","Sordariomycetes","0.0","0.0","2","0","2","Hypocreaceae","2","false","Fungi","314","314","0","1.0","Hypocreales","314","0","1","Ascomycota","2","3","false","0","314","0","0"
"331.0","Sphingomonas","6f7fdad1419595b3bb1e5ceda289402b","1.0","0.0","Alphaproteobacteria","1.0","0.0","2","1","2","Sphingomonadaceae","0","false","Bacteria","118","118","0","1.0","Sphingomonadales","118","2","1","Proteobacteria","2","3","false","0","118","0","0"
"358.0","Labrys","78d965a900ff7e19d546b879c9b0bf12","0.0","0.0","Alphaproteobacteria","0.0","0.0","2","0","2","Labraceae","2","false","Bacteria","127","127","0","1.0","Rhizobiales","127","0","1","Proteobacteria","2","4","false","0","127","0","0"
"511.0","Trichothecium","618be8e1f49fadedc18415d69bb6e95f","0.0","0.0","Sordariomycetes","0.0","0.0","4","0","4","Hypocreales_fam_Incertae_sedis","4","false","Fungi","393","393","0","4.5","Hypocreales","393","0","2","Ascomycota","4","3","false","0","393","0","0"
"2884.0","Massilia","8df2b2e6c1cb64bd18b81d5bae7f0898","1.0","0.0","Gammaproteobacteria","1.0","0.0","2","1","2","Oxalobacteraceae","0","false","Bacteria","147","147","0","1.0","Burkholderiales","147","2","1","Proteobacteria","2","6","false","0","147","0","0"
"1052.0","Robbsia","1ec9fd06c88669eb15764e0b441ade46","0.0","0.0","Gammaproteobacteria","0.0","0.0","2","0","2","Burkholderiaceae","2","false","Bacteria","31","31","0","1.0","Burkholderiales","31","0","1","Proteobacteria","2","3","false","0","31","0","0"
"438.0","fe89b57e6b7b879f73edc7a508c14fab","299","1.0","0.0","Acidobacteriae","1.0","0.0","2","1","2","Acidobacteriaceae_(Subgroup_1)","1","false","Bacteria","299","299","0","1.0","Acidobacteriales","299","1","1","Acidobacteriota","2","4","false","0","299","0","0"
"353.0","Actinoplanes","b9bc2762d1e85ec8666bbfe9983254fe","1.0","0.0","Actinobacteria","1.0","0.0","2","1","2","Micromonosporaceae","1","false","Bacteria","211","211","0","1.0","Micromonosporales","211","1","1","Actinobacteriota","2","5","false","0","211","0","0"
"474.0","Meira","353c6311464c88b8e44375a6d403beba","1.0","0.0","Exobasidiomycetes","1.0","0.0","2","1","2","Brachybasidiaceae","0","false","Fungi","350","350","0","1.0","Exobasidiales","350","2","1","Basidiomycota","2","4","false","0","350","0","0"
"577.0","Phialemoniopsis","b339d9bf84b94fee469c60751296f76f","0.0","0.0","Sordariomycetes","0.0","0.0","2","0","2","Xylariales_fam_Incertae_sedis","2","false","Fungi","458","458","0","1.0","Xylariales","458","0","1","Ascomycota","2","2","false","0","458","0","0"
