"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","name","pval","qval","selected","shared interaction","shared name","weight"
"dist_bray","8.0","35.0","","copresence","433->240","433->240=dist_bray","NaN","NaN","false","","433->240=dist_bray","0.06442463"
"correl_pearson","5.0","30.500000000000004","","copresence","433->351","433->351=correl_pearson","0.0","0.0","false","","433->351=correl_pearson","0.987409827377823"
"correl_pearson","0.0","21.666666666666664","","copresence","433->236","433->236=correl_pearson","0.0","0.0","false","","433->236=correl_pearson","0.993631322143934"
"dist_bray","6.0","21.666666666666664","","copresence","433->236","433->236=dist_bray","NaN","NaN","false","","433->236=dist_bray","0.06824829"
"correl_pearson","6.0","48.99999999999998","","copresence","433->391","433->391=correl_pearson","0.0","0.0","false","","433->391=correl_pearson","0.995810754107189"
"dist_bray","0.0","32.0","","copresence","433->264","433->264=dist_bray","NaN","NaN","false","","433->264=dist_bray","0.07978723"
"dist_bray","0.0","12.166666666666664","","copresence","320->215","320->215=dist_bray","NaN","NaN","false","","320->215=dist_bray","0.08333333"
"dist_bray","7.0","7.833333333333333","","copresence","320->466","320->466=dist_bray","NaN","NaN","false","","320->466=dist_bray","0.01096491"
"dist_bray","0.0","85.0","","copresence","320->452","320->452=dist_bray","NaN","NaN","false","","320->452=dist_bray","0.08114795"
"correl_pearson","8.0","20.666666666666668","","copresence","169->25","169->25=correl_pearson","0.0","0.0","false","","169->25=correl_pearson","0.9948046905522022"
"dist_bray","3.0","12.0","","copresence","169->289","169->289=dist_bray","NaN","NaN","false","","169->289=dist_bray","0.03372988"
"correl_pearson","2.0","3.0","","copresence","235->364","235->364=correl_pearson","0.0","0.0","false","","235->364=correl_pearson","0.0"
"correl_pearson","0.0","4.0","","copresence","235->289","235->289=correl_pearson","0.0","0.0","false","","235->289=correl_pearson","0.0"
"correl_pearson","0.0","3.0","","copresence","235->169","235->169=correl_pearson","0.0","0.0","false","","235->169=correl_pearson","0.9995609796204729"
"dist_bray","4.0","4.0","","copresence","235->289","235->289=dist_bray","NaN","NaN","false","","235->289=dist_bray","0.00789504"
"dist_bray","4.0","3.0","","copresence","235->169","235->169=dist_bray","NaN","NaN","false","","235->169=dist_bray","0.03130757"
"correl_pearson","0.0","4.0","","copresence","292->253","292->253=correl_pearson","0.0","0.0","false","","292->253=correl_pearson","0.9897984508745757"
"dist_bray","66.0","48.0","","copresence","292->252","292->252=dist_bray","NaN","NaN","false","","292->252=dist_bray","0.09136406"
"dist_bray","4.0","4.0","","copresence","292->253","292->253=dist_bray","NaN","NaN","false","","292->253=dist_bray","0.08111732"
"correl_pearson","0.0","4.0","","copresence","494->330","494->330=correl_pearson","0.0","0.0","false","","494->330=correl_pearson","0.9949851125557522"
"correl_pearson","0.0","28.0","","copresence","494->253","494->253=correl_pearson","0.0","0.0","false","","494->253=correl_pearson","0.9975888130466384"
"dist_bray","2.0","4.0","","copresence","494->330","494->330=dist_bray","NaN","NaN","false","","494->330=dist_bray","0.05116041"
"dist_bray","46.0","28.0","","copresence","494->253","494->253=dist_bray","NaN","NaN","false","","494->253=dist_bray","0.04330963"
"correl_pearson","0.0","28.0","","copresence","494->292","494->292=correl_pearson","0.0","0.0","false","","494->292=correl_pearson","0.9865686180120949"
"dist_bray","46.0","28.0","","copresence","494->292","494->292=dist_bray","NaN","NaN","false","","494->292=dist_bray","0.09501518"
"dist_bray","0.0","3.0","","copresence","415->236","415->236=dist_bray","NaN","NaN","false","","415->236=dist_bray","0.04676665"
"correl_pearson","0.0","4.5","","copresence","415->385","415->385=correl_pearson","0.0","0.0","false","","415->385=correl_pearson","0.9983132546554305"
"correl_pearson","14.0","4.833333333333333","","copresence","415->351","415->351=correl_pearson","0.0","0.0","false","","415->351=correl_pearson","0.9993921667080704"
"correl_pearson","10.0","3.0","","copresence","415->236","415->236=correl_pearson","0.0","0.0","false","","415->236=correl_pearson","0.9968640704540971"
"correl_pearson","10.0","2.333333333333333","","copresence","415->391","415->391=correl_pearson","0.0","0.0","false","","415->391=correl_pearson","0.9938532093786384"
"correl_pearson","0.0","7.5","","copresence","240->391","240->391=correl_pearson","0.0","0.0","false","","240->391=correl_pearson","0.0"
"correl_pearson","0.0","15.999999999999998","","copresence","240->264","240->264=correl_pearson","0.0","0.0","false","","240->264=correl_pearson","0.0"
"correl_pearson","0.0","5.0","","copresence","240->351","240->351=correl_pearson","0.0","0.0","false","","240->351=correl_pearson","0.0"
"correl_pearson","1.0","5.0","","copresence","240->236","240->236=correl_pearson","0.0","0.0","false","","240->236=correl_pearson","0.9991847270094146"
"dist_bray","2.0","5.0","","copresence","240->351","240->351=dist_bray","NaN","NaN","false","","240->351=dist_bray","0.03163821"
"dist_bray","4.0","7.5","","copresence","240->391","240->391=dist_bray","NaN","NaN","false","","240->391=dist_bray","0.05752961"
"correl_pearson","6.0","14.666666666666664","","copresence","240->433","240->433=correl_pearson","0.0","0.0","false","","240->433=correl_pearson","0.0"
"dist_bray","0.0","16.833333333333332","","copresence","240->415","240->415=dist_bray","NaN","NaN","false","","240->415=dist_bray","0.05059031"
"dist_bray","12.0","15.999999999999998","","copresence","240->264","240->264=dist_bray","NaN","NaN","false","","240->264=dist_bray","0.07989611"
"correl_pearson","10.0","16.833333333333332","","copresence","240->415","240->415=correl_pearson","0.0","0.0","false","","240->415=correl_pearson","0.0"
