#OTUID	S105_NSW1092594_FWD21	S106_NSW1092549_FWD21	S107_NSW1092579_FWD21	S108_NSW1092539_FWD21	S109_NSW1092529_FWD22	S110_NSW1092544_FWD22	S111_NSW1092571_FWD22	S126_NSW1092570_FWD13	S127_NSW1092551_FWD13	S128_NSW1092546_FWD13	S129_NSW1092552_FWD13	S130_NSW1092547_FWD13	S131_NSW1092541_FWD13	S132_NSW1092596_FWD13	S176_NSW1092503_FWD09	S177_NSW1092518_FWD09	S178_NSW1092510_FWD09	S179_NSW1092511_FWD09	S180_NSW1092513_FWD09	S181_NSW1092514_FWD09	S182_NSW1092517_FWD09	S183_NSW1092516_FWD09	S229_NSW1092807_FWD13	S230_NSW1092812_FWD13	S231_NSW1092817_FWD13	S232_NSW1092647_FWD14	S233_NSW1092837_FWD14	S234_NSW1092796_FWD14	S235_NSW1092786_FWD14	S27_NSW1092587_FWD19	S28_NSW1092616_FWD19	S40_NSW1092822_FWD20	S57_NSW1093021_FWD09	S58_NSW1092907_FWD09	S59_NSW1093110_FWD09	S60_NSW1093000_FWD09	S61_NSW1093115_FWD10	S62_NSW1093126_FWD10	S63_NSW1093002_FWD10	S64_NSW1093023_FWD10	S73b_NSW1092681_FWD21	S74b_NSW1092840_FWD21	S75b_NSW1092850_FWD21	S76b_NSW1092855_FWD21	S77b_NSW1092851_FWD21	S78b_NSW1092846_FWD21	S79b_NSW1092841_FWD21	S80b_NSW1092836_FWD21
26	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	35	0	0	9	0	0	0	0	0	0	0	0	0
27	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	65	0	0	0	0	0	19	0	0	19	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	28	11	0	46	0	0	0	0	65	48	47	0	0	64	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	30	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0
30	3099	112	3064	5696	0	394	18	863	0	0	0	0	272	6	0	0	1960	352	4140	118	502	0	125	0	0	548	28	27	87	368	2690	0	1342	0	103	0	46	1913	9	2418	204	149	1142	1294	911	2764	190	0
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	3	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6665	0	0	0	0	0	0	0	0
34	2329	26	408	2531	0	3468	0	0	0	0	0	0	0	0	0	0	9	102	0	1188	260	0	74	43	0	0	0	0	0	37	0	0	1946	0	0	17	0	3	0	44	82	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	1093	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	496	0	0	0	12	0	0	0	0	0	0
37	0	0	83	0	0	22	0	0	0	0	0	0	0	56	0	0	89	0	0	4	0	0	0	1119	24	0	0	0	0	0	38	1177	67	135	0	0	73	0	0	126	0	0	0	87	0	0	0	0
38	11388	748	2500	1049	84	8803	321	176	0	232	0	1149	666	11812	0	0	0	1024	0	0	19885	0	305	0	0	0	172	372	0	0	0	0	240	16912	335	256	302	8897	0	177	752	392	2171	179	18137	6886	34502	2593
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0
40	0	234	0	0	0	3309	0	6724	2346	0	0	14465	1452	0	0	0	0	848	0	0	0	0	0	0	0	0	0	1608	77	0	0	0	251	0	0	143	0	0	27330	56	0	94	0	457	0	0	0	0
