	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
374	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	98936fb61422ae726c7d39d398c188d1	374	NonKeystone
375	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthales_fam_Incertae_sedis	Apoharknessia	98a81aafbb37caa6674a68e95175efce	375	NonKeystone
376	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	997cabda991ca083984f05c60b63350e	376	NonKeystone
377	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	9a85c7e088ea92ade004941fbf431091	377	NonKeystone
378	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	9a94a02572540c5965d01e4709f5bfca	378	Keystone
379	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	9ad20bbd061d1828dc92dea89b3c1f28	379	NonKeystone
380	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Cucurbitariaceae	9c3c7b203d8fe5210ddb156516f1bba1	380	NonKeystone
381	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	9c6fe943e913c7ed2b88a61d6b5bb7b8	381	NonKeystone
382	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	9df478ef9786dc5da1368ebba70251b9	382	NonKeystone
383	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	9e30e6c2819b49dbb80b3f40d3bf96d5	383	NonKeystone
384	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	a16fd2ee45187ec576b1c3afc2d277bc	384	NonKeystone
385	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	a272aa7eae0e01f2bf9497cb89b5db20	385	NonKeystone
386	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Halotthiaceae	Sulcosporium	a3af6cbcfed10d9f4ae8077bb5674077	386	NonKeystone
387	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	a3b5ebb3fb1ea1d15029b348679074d6	387	NonKeystone
388	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	a487332fde067e647c157c54ee58673d	388	Keystone
389	Fungi	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	a6a04817c1b0217bd15ffb8a7c5190f4	389	NonKeystone
390	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Schwanniomyces	a6c866e06285a909b9c06902000e9211	390	NonKeystone
391	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	a85e7d7fb3d4861147f307930b46a96d	391	NonKeystone
392	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	a88b0e0c892d80e1ee1a69e485cc1c4f	392	NonKeystone
393	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	a96078b17eb82a36a9f89d8b4c0441b4	393	NonKeystone
394	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	a96be1c4a0acdf2bf56538d02b34d8d4	394	NonKeystone
395	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	ab03f1df554dd006f22f5064a432d046	395	NonKeystone
