"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","1.0","7.0","","copresence","489->481","2","0.9912371734254481|0.07946917","","489->481","0.0","0.0","false","","489->481","2.0"
"correl_pearson|dist_bray","1.0","7.0","","copresence","489->198","2","0.9939087132414459|0.06386695","","489->198","0.0","0.0","false","","489->198","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","184->108","2","0.09516441|0.9863648856288867","","184->108","0.0","0.0","false","","184->108","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","515->73","2","0.09528205|0.9835836612691369","","515->73","0.0","0.0","false","","515->73","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","515->108","2","0.06034645|0.9936372539082672","","515->108","0.0","0.0","false","","515->108","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","515->118","2","0.9942887957159302|0.05726855","","515->118","0.0","0.0","false","","515->118","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","515->184","2","0.9981955322754528|0.03481796","","515->184","0.0","0.0","false","","515->184","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","329->252","2","0.9961520811660248|0.06110602","","329->252","0.0","0.0","false","","329->252","2.0"
"correl_pearson|dist_bray","7.0","16.0","","copresence","465->84","2","0.07838622|0.990209124581238","","465->84","0.0","0.0","false","","465->84","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","276->222","2","0.9932837646171275|0.06753119","","276->222","0.0","0.0","false","","276->222","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","413->365","2","0.999979649382554|0.00406284","","413->365","0.0","0.0","false","","413->365","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","481->407","2","0.9996974571518972|0.01497014","","481->407","0.0","0.0","false","","481->407","2.0"
"correl_pearson|dist_bray","5.0","8.5","","copresence","481->198","2","0.01560222|0.9996758390450058","","481->198","0.0","0.0","false","","481->198","2.0"
"correl_pearson|dist_bray","5.0","89.58333333333337","","copresence","441->272","2","0.0|0.9999999999999997","","441->272","0.0","0.0","false","","441->272","2.0"
"correl_pearson|dist_bray","8.0","156.25","","copresence","441->281","2","0.0|0.9999999999999984","","441->281","0.0","0.0","false","","441->281","2.0"
"correl_pearson|dist_bray","2.0","54.545454545454575","","copresence","441->408","2","0.999925287487818|0.01207729","","441->408","0.0","0.0","false","","441->408","2.0"
"correl_pearson|dist_bray","1.0","50.0","","copresence","441->427","2","0.0|0.9999999999999984","","441->427","0.0","0.0","false","","441->427","2.0"
"correl_pearson|dist_bray","13.0","174.16666666666652","","copresence","441->463","2","0.0","","441->463","0.0","0.0","false","","441->463","2.0"
"correl_pearson|dist_bray","3.0","58.71212121212118","","copresence","441->468","2","0.0|0.08576998","","441->468","0.0","0.0","false","","441->468","2.0"
"correl_pearson|dist_bray","2.0","54.545454545454575","","copresence","441->469","2","0.0|0.00634249","","441->469","0.0","0.0","false","","441->469","2.0"
"correl_pearson|dist_bray","4.0","64.96212121212118","","copresence","441->476","2","0.0","","441->476","0.0","0.0","false","","441->476","2.0"
"correl_pearson|dist_bray","4.0","108.71212121212115","","copresence","441->482","2","0.0|0.08349146","","441->482","0.0","0.0","false","","441->482","2.0"
"correl_pearson|dist_bray","1.0","50.0","","copresence","441->483","2","0.0","","441->483","0.0","0.0","false","","441->483","2.0"
"correl_pearson|dist_bray","6.0","117.04545454545463","","copresence","441->487","2","0.0|0.01014199","","441->487","0.0","0.0","false","","441->487","2.0"
"correl_pearson|dist_bray","4.0","65.85497835497839","","copresence","441->491","2","0.0","","441->491","0.0","0.0","false","","441->491","2.0"
"correl_pearson|dist_bray","2.0","54.545454545454575","","copresence","441->497","2","0.0","","441->497","0.0","0.0","false","","441->497","2.0"
"correl_pearson|dist_bray","22.0","305.4166666666665","","copresence","441->300","2","0.0|0.9999999999999987","","441->300","0.0","0.0","false","","441->300","2.0"
"correl_pearson|dist_bray","7.0","89.64285714285721","","copresence","441->302","2","0.0|0.9999999999999994","","441->302","0.0","0.0","false","","441->302","2.0"
"correl_pearson|dist_bray","3.0","60.41666666666671","","copresence","441->310","2","0.0|0.999999999999998","","441->310","0.0","0.0","false","","441->310","2.0"
"correl_pearson|dist_bray","7.0","121.7261904761905","","copresence","441->313","2","0.9982219963789769|0.0845481","","441->313","0.0","0.0","false","","441->313","2.0"
"correl_pearson|dist_bray","17.0","275.8549783549783","","copresence","441->362","2","0.9999051474509368|0.01358696","","441->362","0.0","0.0","false","","441->362","2.0"
"correl_pearson|dist_bray","1.0","50.0","","copresence","441->370","2","0.06313131|0.9982217366955325","","441->370","0.0","0.0","false","","441->370","2.0"
"correl_pearson|dist_bray","3.0","58.71212121212118","","copresence","441->374","2","0.9989722881044789|0.04336735","","441->374","0.0","0.0","false","","441->374","2.0"
"correl_pearson|dist_bray","7.0","101.27164502164513","","copresence","441->378","2","0.0911271|0.998337730361349","","441->378","0.0","0.0","false","","441->378","2.0"
"correl_pearson|dist_bray","6.0","232.14285714285697","","copresence","441->384","2","0.9999460402377914|0.01028278","","441->384","0.0","0.0","false","","441->384","2.0"
"correl_pearson|dist_bray","22.0","314.58333333333337","","copresence","441->510","2","0.0","","441->510","0.0","0.0","false","","441->510","2.0"
"correl_pearson|dist_bray","23.0","365.4761904761901","","copresence","441->511","2","0.0|0.07581227","","441->511","0.0","0.0","false","","441->511","2.0"
"correl_pearson|dist_bray","17.0","525.8333333333328","","copresence","441->517","2","0.0","","441->517","0.0","0.0","false","","441->517","2.0"
"correl_pearson|dist_bray","199.0","3624.0","","copresence","343->397","2","0.0|0.0962963","","343->397","0.0","0.0","false","","343->397","2.0"
