abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,Outdegree,Species,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,PartnerOfMultiEdgedNodePairs,phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Stress,unknowndegree
481,2.887323943661972,125.46542519907719,0.5607769420364865,6.8861954423016964,-71,Eurotiomycetes,30.84999999999998,0.3463414634146341,0.233201581,23,6,23,-2.64E-26,Phaeomoniellales,Phaeomoniellales,14,9,cea0dacfa89cc3d52f37e3a3406e5605,Fungi,480,Cluster 3,Clustered,4.968421052631579,480,0,33.65217391304348,Phaeomoniellales,480,0,Ascomycota,23,6.751510650508045E-4,1,FALSE,0,480,54296,0
307,3.943661971830986,81.32569852220806,0.5630503851158091,4.126355110654658,-71,Dothideomycetes,27.738095238095216,0.25357142857142856,0.25296442687747034,23,7,23,-3.21E-26,Capnodiales,Capnodiales,8,15,ae54a3715d1db35f288cb721353ce5a4,Fungi,299,Cluster 5,Seed,7.794117647058823,299,0,32.82608695652174,Capnodiales,299,0,Ascomycota,23,6.737355427581456E-4,3,FALSE,0,299,32475,0
233,2.112676056338028,885.0784908942939,5.449782788301509,47.51752158959211,-71,Sordariomycetes,41.06666666666667,0.4733333333333334,0.20948616600790515,23,5,23,-2.63E-27,Sporocadaceae,Seiridium,4,19,2bbfd290474d74a1cf2cb0312a182242,Fungi,232,Cluster 3,Clustered,5.176470588235294,232,0,30.347826086956523,Xylariales,232,0,Ascomycota,23,6.79840464104423E-4,1,FALSE,0,232,277017,0
477,2.704225352112676,56.362730694186695,0.33707703,3.0643470997088555,-71,Ascomycota,33.53333333333332,0.3697916666666667,0.21936758893280633,23,6,23,7.222186233282851E-27,Ascomycota,Ascomycota,11,12,e08eecca7c20e8a340ad60b2a4c255c1,Fungi,476,Cluster 3,Clustered,5.978021978021978,476,0,32.69565217391305,Ascomycota,476,0,Ascomycota,23,6.763764260269644E-4,1,FALSE,0,476,31367,0
303,4.450704225352113,41.86942796732091,0.24735364016834935,1.9651257376025144,-71,Dothideomycetes,21.485714285714284,0.22468354430379744,0.17588932806324112,23,8,23,-4.45E-27,Pleosporales,Pleosporales,19,4,42cd3aba2a645ef055d779bba22224ce,Fungi,302,,Unclustered,4.433333333333334,302,0,28.08695652173913,Pleosporales,302,0,Ascomycota,23,6.709093697285703E-4,1,FALSE,0,302,10089,0
222,3.76056338,12.846579155781747,0.068192732,0.8131142182875574,-71,Eurotiomycetes,27.60238095238095,0.26591760299625467,0.2885375494071146,23,8,23,0,Coryneliaceae,Hypsotheca,12,11,4a8e8e6eaed1d47729f0237066c56992,Fungi,221,Cluster 1,Clustered,8.812865497076023,221,0,36.69565217391305,Coryneliales,221,0,Ascomycota,23,6.736739450185824E-4,1,FALSE,0,221,4303,0
301,2.1549295774647885,31.44385992552376,0.2726620730475158,1.672197413546761,-71,Dothideomycetes,40.949999999999996,0.4640522875816994,0.18614718614718614,22,5,22,-2.75E-26,Capnodiales,Capnodiales,3,19,64eb7c924c6f2b81568d5c47a6d123c1,Fungi,300,,Unclustered,2.8285714285714283,300,0,28.863636363636363,Capnodiales,300,0,Ascomycota,22,6.797865470242341E-4,1,FALSE,0,300,10605,0
456,3.267605633802817,7.873705244580552,0.060514522,0.609678838,-71,Sordariomycetes,29.96666666666666,0.30603448275862066,0.31666666666666665,21,6,21,-1.12E-26,Valsaceae,Cytospora,7,14,9ca3105a117897b37ca2a3f811964073,Fungi,455,Cluster 1,Clustered,9.139705882352942,455,0,36.76190476190476,Diaporthales,455,0,Ascomycota,21,6.747486561255931E-4,1,FALSE,0,455,5432,0
498,3.3943661971830985,6.2786672228539375,0.050779699400067956,0.5029516026254753,-71,Dothideomycetes,26.633333333333326,0.2946058091286307,0.3380952380952381,21,6,21,2.136369262961118E-26,Phyllostictaceae,Phyllostictaceae,13,8,6d3fe256baa0d15d2e5dfe7cbe6dd8ec,Fungi,497,Cluster 1,Clustered,9.130718954248367,497,0,38.142857142857146,Botryosphaeriales,497,0,Ascomycota,21,6.73234442674087E-4,1,FALSE,0,497,5804,0
364,1.5,10.07054791613615,0.055430921,0.6365547753785156,-4,Dothideomycetes,3,0.6666666666666666,0.1763157894736842,20,2,20,6.519416313837155E-27,Hysteriaceae,Gloniopsis,18,2,45e9dbeb4c6f81629d1d1310e078c05d,Fungi,363,,Unclustered,4.076923076923077,363,0,29.1,Hysteriales,363,0,Ascomycota,20,6.626905235255136E-4,1,FALSE,0,363,1628,0
335,3.0140845070422535,5.901276497826498,0.043596874,0.5196285119947418,-71,Dothideomycetes,32.18333333333332,0.3317757009345794,0.2868421052631579,20,6,20,4.644503823366225E-15,Lophiostomataceae,Lophiostoma,5,15,e3059e979256b4d61c50e91573b08a9b,Fungi,334,Cluster 3,Clustered,5.380116959064328,334,0,38.3,Pleosporales,334,0,Ascomycota,20,6.757593846084534E-4,1,FALSE,0,334,2693,0
434,2.563380281690141,8.076002749547264,0.047174951533914176,0.7308388997526394,-71,Ascomycota,35.699999999999996,0.3901098901098901,0.2894736842105263,19,6,19,4.113613420008263E-26,Ascomycota,Ascomycota,5,14,0c2bf0692b9707596ffe0da601068d31,Fungi,433,,Unclustered,7.371428571428571,433,0,35.94736842105263,Ascomycota,433,0,Ascomycota,19,6.773690984217296E-4,1,FALSE,0,433,3357,0
352,3.4507042253521125,25.843093448968727,0.1930138563733898,2.515779278269056,-71,Ascomycota,26.383333333333322,0.28979591836734697,0.29411764705882354,18,6,18,-3.38E-26,Ascomycota,Ascomycota,9,9,d35ae73cc128de0b1835cdd9803d75ae,Fungi,351,Cluster 5,Clustered,7.615384615384615,351,0,34.5,Ascomycota,351,0,Ascomycota,18,6.731211505884198E-4,1,FALSE,0,351,18320,0
