Sample_ID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession
S113_NSW1092612_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092612
S114_NSW1092581_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092581
S115_NSW1092602_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092602
S116_NSW1092591_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092591
S117_NSW1092601_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092601
S118_NSW1092572_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092572
S119_NSW1092565_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092565
S120_NSW1092560_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092560
S121_NSW1092562_FWD15	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092562
S122_NSW1092545_FWD15	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092545
S123_NSW1092540_FWD15	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092540
S124_NSW1092535_FWD15	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092535
S125_NSW1092555_FWD15	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092555
S126_NSW1092570_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092570
S127_NSW1092551_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092551
S128_NSW1092546_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092546
S129_NSW1092552_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092552
