SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site	Primer_with_WEHI_adapter	Index_PCR_Plate	Fwd_primer	FWDprimer	REVPrimer	Rev_Primer
S100_NSW1092909_FWD12	FALSE	FALSE	Themeda_triandra	Jesmond_Park	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Jesmond_Park	515f/806r	Allison_Plate 1_Run3	Fwd_12	FWD12	REV08	Rev_08
S101_NSW1092904_FWD12	FALSE	FALSE	Themeda_triandra	Jesmond_Park	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Jesmond_Park	515f/806r	Allison_Plate 1_Run3	Fwd_12	FWD12	REV09	Rev_09
S102_NSW1092913_FWD12	FALSE	FALSE	Themeda_triandra	Jesmond_Park	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Jesmond_Park	515f/806r	Allison_Plate 1_Run3	Fwd_12	FWD12	REV10	Rev_10
S103_NSW1092943_FWD12	FALSE	FALSE	Themeda_triandra	Jesmond_Park	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Jesmond_Park	515f/806r	Allison_Plate 1_Run3	Fwd_12	FWD12	REV11	Rev_11
S104_NSW1092905_FWD12	FALSE	FALSE	Themeda_triandra	Jesmond_Park	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Jesmond_Park	515f/806r	Allison_Plate 1_Run3	Fwd_12	FWD12	REV12	Rev_12
S105_NSW1092594_FWD21	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_21	FWD21	REV21	Rev_21
S106_NSW1092549_FWD21	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_21	FWD21	REV22	Rev_22
S107_NSW1092579_FWD21	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_21	FWD21	REV23	Rev_23
S108_NSW1092539_FWD21	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_21	FWD21	REV24	Rev_24
S109_NSW1092529_FWD22	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV13	Rev_13
S110_NSW1092544_FWD22	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV14	Rev_14
S111_NSW1092571_FWD22	FALSE	FALSE	Themeda_triandra	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV15	Rev_15
S112_NSW1092592_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV16	Rev_16
S113_NSW1092612_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV17	Rev_17
S114_NSW1092581_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV18	Rev_18
S115_NSW1092602_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV19	Rev_19
S116_NSW1092591_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV20	Rev_20
S117_NSW1092601_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV21	Rev_21
S118_NSW1092572_FWD22	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV22	Rev_22
