	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
298	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	82ba2c9dcc4f9cb6e18d672c5720da0f	298
299	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	82e152764a1a9203a9ab95de22170a25	299
300	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	82e17ed2c2b1107a25be0f58324e4b80	300
301	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthaceae	838d933d7c8b95b2c8e81839886181fe	301
302	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	83e04ec05368359fe46448e13864e46f	302
303	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosulcatispora	83eeb15f608e8b90087b54be3d8007b1	303
304	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	84218cde80f24b41cd962c04dd04334c	304
305	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales	Dothideales	8490570b160af97e508c2cabc8e15f66	305
306	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotryaceae	84c53977e92683af0e4a42b42a9a5509	306
307	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	8500e710b25936cc3a2fe89089c228c3	307
308	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Cylindrium	855bf05f318c79b60834b8ea00a80e92	308
309	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae	86fbfa912f905b34fafffc63481e4c94	309
310	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	87b924fba066891a97bd0b7412649b3c	310
311	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	880885f11fc72fa60a22e8ef408239e4	311
312	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	8951edbc6c6d769b2716a7ac79926e14	312
313	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Shiraia	8974735b9ac250046905c4c4c204816e	313
314	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Allelochaeta	8a2d6a34ad09b05253773198ee594cb2	314
315	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	8b0fe00bd6719dfd0b971ce9ea657a06	315
316	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	8b10c249a7a22c6380f60018f5e9f47b	316
317	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	8b82f513b271b184f96e2267739537ee	317
318	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	8ceb040d9a901878e070b8da7fded0ab	318
319	Fungi	Ascomycota	Leotiomycetes	Phacidiales	Phacidiaceae	Phacidium	8d1eb5eb98003c52ea5940067e628d27	319
