"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","3.0","22.999999999999996","","copresence","166->213","2","0.0|0.06956522","","166->213","0.0","0.0","true","","166->213","2.0"
"correl_pearson|dist_bray","7.0","40.0","","copresence","166->440","2","0.0","","166->440","0.0","0.0","false","","166->440","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","469->403","2","0.06794698|0.9965170981472459","","469->403","0.0","0.0","true","","469->403","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","511->457","2","0.08708106|0.9957034562478221","","511->457","0.0","0.0","true","","511->457","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","70->173","2","0.0|0.08333333","","70->173","0.0","0.0","true","","70->173","2.0"
"correl_pearson|dist_bray","1.0","9.0","","copresence","167->213","2","0.0|0.06956522","","167->213","0.0","0.0","true","","167->213","2.0"
"correl_pearson|dist_bray","3.0","15.75","","copresence","167->466","2","0.0","","167->466","0.0","0.0","true","","167->466","2.0"
"correl_pearson|dist_bray","1.0","9.0","","copresence","167->467","2","0.0","","167->467","0.0","0.0","true","","167->467","2.0"
"correl_pearson|dist_bray","1.0","9.0","","copresence","167->276","2","0.0","","167->276","0.0","0.0","true","","167->276","2.0"
"correl_pearson|dist_bray","14.0","83.25","","copresence","167->323","2","0.0","","167->323","0.0","0.0","false","","167->323","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","273->349","2","0.0|0.07743232","","273->349","0.0","0.0","true","","273->349","2.0"
"correl_pearson|dist_bray","3.0","9.0","","copresence","409->298","2","0.03668422|0.9977976249937635","","409->298","0.0","0.0","true","","409->298","2.0"
"correl_pearson|dist_bray","6.0","11.0","","copresence","51->154","2","0.0|0.0975897","","51->154","0.0","0.0","false","","51->154","2.0"
"correl_pearson|dist_bray","2.0","3.0","","copresence","51->93","2","0.0|0.03559921","","51->93","0.0","0.0","true","","51->93","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","332->469","2","0.0|0.07504155","","332->469","0.0","0.0","true","","332->469","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","332->403","2","0.02575129|0.0","","332->403","0.0","0.0","true","","332->403","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","332->406","2","0.0|0.05454433","","332->406","0.0","0.0","true","","332->406","2.0"
"correl_pearson|dist_bray","7.0","38.0","","copresence","204->338","2","0.0|0.04651163","","204->338","0.0","0.0","false","","204->338","2.0"
"correl_pearson|dist_bray","4.0","33.5","","copresence","204->166","2","0.04651163|0.9988104534323792","","204->166","0.0","0.0","false","","204->166","2.0"
"correl_pearson|dist_bray","2.0","23.0","","copresence","204->388","2","0.0|0.04651163","","204->388","0.0","0.0","true","","204->388","2.0"
"correl_pearson|dist_bray","3.0","38.0","","copresence","204->440","2","0.0|0.04651163","","204->440","0.0","0.0","true","","204->440","2.0"
"correl_pearson|dist_bray","2.0","7.0","","copresence","298->396","2","0.0|0.04184716","","298->396","0.0","0.0","true","","298->396","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","96->500","2","0.0|0.08333333","","96->500","0.0","0.0","true","","96->500","2.0"
"correl_pearson|dist_bray","2.0","2.0","","copresence","96->55","2","0.9922923064846095|0.08333333","","96->55","0.0","0.0","true","","96->55","2.0"
"correl_pearson|dist_bray","2.0","5.0","","copresence","62->125","2","0.0|0.05230989","","62->125","0.0","0.0","true","","62->125","2.0"
"correl_pearson|dist_bray","6.0","36.0","","copresence","291->239","2","0.0839019|0.9883520433608742","","291->239","0.0","0.0","false","","291->239","2.0"
"correl_pearson|dist_bray","3.0","15.0","","copresence","522->291","2","0.05577208|0.9965546126784499","","522->291","0.0","0.0","true","","522->291","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","244->411","2","0.0|0.08707821","","244->411","0.0","0.0","true","","244->411","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","244->221","2","0.05880849|0.9957946097670799","","244->221","0.0","0.0","true","","244->221","2.0"
