abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,Eccentricity Dir,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,phylum,posdegree,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
401,1.444444444,0,0,0,-9,Dothideomycetes,7,0.692307692,0,5,2,0.5,5,-63.26109539,Capnodiales,Capnodiales,0,FALSE,Fungi,280,,Unclustered,0.333333333,280,0,3.4,Capnodiales,280,5,0,Ascomycota,5,2,FALSE,0,280,5aaa7081c74a1cee6e7642ed5cf55813,0,0
342,1,0.333333333,0.019047619,0.416666667,-1,Dothideomycetes,1,1,0,2,1,1,2,49.96055938,Coniothyriaceae,Coniothyrium,1,FALSE,Fungi,236,,Unclustered,0.666666667,236,0,5,Pleosporales,236,1,0,Ascomycota,2,2,FALSE,0,236,4097f77da7e3e5941b0ce2f95303118a,12,0
265,1.727272727,0,0,0,-11,Dothideomycetes,7.333333333,0.578947368,0.333333333,4,3,0.333333333,4,-6.926674123,Pleosporales,Pleosporales,0,FALSE,Fungi,264,,Unclustered,3,264,0,6.75,Pleosporales,264,4,0,Ascomycota,4,1,FALSE,0,264,5202c68df0068167366946fc5715c851,0,0
500,0,0,0,0,0,Dothideomycetes,0,0,0.2,5,0,0,5,1.23E-14,Pleosporales,Pleosporales,5,FALSE,Fungi,373,Cluster 2,Clustered,3,373,0,4.8,Pleosporales,373,0,0,Ascomycota,5,2,FALSE,0,373,984d1e33567eeae1439a011ddde7be31,0,0
130,1.142857143,11.28333333,0.401984127,0.628514589,-7,Dothideomycetes,6.5,0.875,0.188888889,10,2,0.5,10,2.928442855,Aureobasidiaceae,Aureobasidium,4,FALSE,Fungi,126,Cluster 1,Clustered,4,126,0,6.1,Dothideales,126,6,0,Ascomycota,10,2,FALSE,0,126,02c6fcb93129d6216624cbf080b18ff1,139,0
324,1.692307692,8.25,0.353571429,1.386554622,-13,Dothideomycetes,8.833333333,0.590909091,0.133333333,6,3,0.333333333,6,1.37E-13,Pleosporaceae,Curvularia,1,FALSE,Fungi,323,,Unclustered,0.952380952,323,0,6.5,Pleosporales,323,5,0,Ascomycota,6,1,FALSE,0,323,78380f34b0cc0fe75299bc0ad51932da,117,0
1177,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,0,1,15.47565469,Diaporthaceae,Diaporthe,1,FALSE,Fungi,493,,Unclustered,0,493,0,3,Diaporthales,493,0,0,Ascomycota,1,5,FALSE,0,493,e892085bb61db85e5e9245ab33b7958d,0,0
1050,1.25,0,0,0,-4,Eurotiomycetes,3.5,0.8,0.166666667,3,2,0.5,3,8.76867861,Phaeomoniellaceae,Neophaeomoniella,0,FALSE,Fungi,402,Cluster 3,Seed,2,402,0,2.666666667,Phaeomoniellales,402,3,0,Ascomycota,3,2,FALSE,0,402,acd90b1f80b359616afb7d16dbc6fcd9,0,0
436,0,0,0,0,0,Dothideomycetes,0,0,0.25,4,0,0,4,-0.581457857,Pleosporaceae,Alternaria,4,FALSE,Fungi,327,,Unclustered,1.4,327,0,3.5,Pleosporales,327,0,0,Ascomycota,4,4,FALSE,0,327,7adf9dcc7c77133e6407167819bbde72,0,0
568,1.5,0,0,0,-6,Basidiomycota,4.833333333,0.666666667,0.083333333,4,3,0.333333333,4,-15.27817816,Basidiomycota,Basidiomycota,0,FALSE,Fungi,412,,Unclustered,2,412,0,2.75,Basidiomycota,412,4,0,Basidiomycota,4,3,FALSE,0,412,b0afaaf5763d72c2e1e540aa9d8e33d1,0,0
467,1.6,5.483333333,0.241666667,0.648275862,-5,Dothideomycetes,3.833333333,0.625,0.166666667,7,3,0.333333333,7,7.19E-14,Didymosphaeriaceae,Paraphaeosphaeria,4,FALSE,Fungi,466,,Unclustered,2.4,466,0,6.285714286,Pleosporales,466,3,0,Ascomycota,7,1,FALSE,0,466,d3b6d627f63463264786cf9afff3f480,84,0
255,1.4,6.6,0.278571429,0.661891117,-10,Sordariomycetes,8,0.714285714,0.232142857,8,2,0.5,8,2.928442855,Bartaliniaceae,Bartaliniaceae,2,FALSE,Fungi,254,Cluster 1,Seed,4,254,0,6.875,Xylariales,254,6,0,Ascomycota,8,1,FALSE,0,254,4d2a077848d31fb908c2d6b55a1d3f18,97,0
493,1,0.833333333,0.030952381,0.130718954,-1,Sordariomycetes,1,1,0.2,5,1,1,5,-4.65E-14,Diaporthaceae,Diaporthe,4,FALSE,Fungi,378,Cluster 2,Clustered,3,378,0,4.8,Diaporthales,378,1,0,Ascomycota,5,2,FALSE,0,378,9a94a02572540c5965d01e4709f5bfca,17,0
486,1,14,0.276190476,0.719178082,-5,Tremellomycetes,5,1,0.125,8,1,1,8,1.14E-13,Filobasidiaceae,Filobasidium,3,FALSE,Fungi,359,Cluster 2,Seed,3,359,0,3.75,Filobasidiales,359,5,0,Basidiomycota,8,2,FALSE,0,359,8f24713494d60277164eb63154bd7af5,58,0
