"abundance","ASV","ASVNumber","AverageShortestPathLength","Betweenness Dir","BetweennessCentrality","Bridging Dir","Centroid Dir","Class","Closeness Dir","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","EigenVector Dir","Family","Genus","Indegree","IsSingleNode","Kingdom","Label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","Radiality Dir","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"714.0","bd6feb8f8d57429d4a68c5ab50b6d510","623","5.66","0.0","0.0","0.0","-100.0","Dothideomycetes","19.164285714285704","0.17667844522968199","0.0","1","7","1","-40523.348097076865","Cladosporiaceae","Cladosporium","0","false","Fungi","623","","Unclustered","0.0","623","0","69.0","Capnodiales","623","1","0","Ascomycota","1","4.921657754950665E-4","3","true","0","623","0","0"
"639.0","90e05d3333926ee8560b9c5a503b467c","506","0.0","0.0","0.0","0.0","0.0","Eurotiomycetes","0.0","0.0","0.0","1","0","1","-27483.395094125823","Phaeomoniellaceae","Neophaeomoniella","1","false","Fungi","506","","Unclustered","0.0","506","0","3.0","Phaeomoniellales","506","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","506","0","0"
"499.0","1aba95c7856c2b20424424b195d87741","237","1.5","0.0","0.0","0.0","-2.0","Microbotryomycetes","1.5","0.6666666666666666","0.0","1","2","1","594.2335801692593","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium","0","false","Fungi","237","","Unclustered","0.0","237","0","3.0","Microbotryomycetes_ord_Incertae_sedis","237","1","0","Basidiomycota","1","4.8792388387411563E-4","2","true","0","237","0","0"
"791.0","4d90f62ce25479584bc6750aca56e08d","360","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","-1.13860098241946E-10","Pleosporales","Pleosporales","1","false","Fungi","360","","Unclustered","0.0","360","0","1.0","Pleosporales","360","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","360","0","0"
"1019.0","65f7790476e0c4d5fb72a70beb86117d","408","1.0","0.0","0.0","0.0","-1.0","Agaricomycetes","1.0","1.0","0.0","1","1","1","-10390.390831654091","Phanerochaetaceae","Bjerkandera","0","false","Fungi","408","","Unclustered","0.0","408","0","1.0","Polyporales","408","1","0","Basidiomycota","1","4.878048780487805E-4","6","true","0","408","0","0"
"423.0","255179506671dacfcba1e6afabe53470","268","0.0","0.0","0.0","0.0","0.0","Tremellomycetes","0.0","0.0","0.0","1","0","1","1.74973908352308E-10","Carcinomycetaceae","Carcinomyces","1","false","Fungi","268","","Unclustered","0.0","268","0","1.0","Tremellales","268","0","0","Basidiomycota","1","4.8756704046806434E-4","2","true","0","268","0","0"
"258.0","dd8229814f2d127e61ac92c5d275db8b","139","1.0","0.0","0.0","0.0","-1.0","Gammaproteobacteria","1.0","1.0","0.0","1","1","1","-4993.786081265671","Comamonadaceae","Comamonadaceae","0","false","Bacteria","139","","Unclustered","0.0","139","0","1.0","Burkholderiales","139","1","0","Proteobacteria","1","4.878048780487805E-4","2","true","0","139","0","0"
"1049.0","d6c978e6c2730659cb3432fd4da8972e","686","0.0","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","1","0","1","9132.030894225913","Trichosphaeriaceae","Nigrospora","1","false","Fungi","686","","Unclustered","0.0","686","0","2.0","Trichosphaeriales","686","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","686","0","0"
"3936.0","a1e448c3337fd6671a43caf3e13637f2","555","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","-5579.164067771257","Pleosporaceae","Curvularia","1","false","Fungi","555","","Unclustered","0.0","555","0","2.0","Pleosporales","555","0","0","Ascomycota","1","4.8756704046806434E-4","3","true","0","555","0","0"
"709.0","975719325167e94ed77a7ab3c3b2f4c1","532","1.0","0.0","0.0","0.0","-1.0","Dothideomycetes","1.0","1.0","0.5","2","1","2","27483.395094125764","Pleosporaceae","Bipolaris","1","false","Fungi","532","Cluster 12","Seed","2.0","532","0","3.0","Pleosporales","532","1","0","Ascomycota","2","4.878048780487805E-4","2","true","0","532","0","0"
