ASV,HostSpecies,Organism,IndVal,Species,Guild,SiteType
ab22bd41b40f836aa59fde3116a5762d,(f) Themeda triandra Fungi,Fungi,0.5,Aureobasidium leucospermi,LitterSaprotroph,Natural
c6c303ec40570a32fc80931121416ba7,(f) Themeda triandra Fungi,Fungi,0.5,Papiliotrema anemochoreius,Mycoparasite,Natural
997cabda991ca083984f05c60b63350e,(f) Themeda triandra Fungi,Fungi,0.486,Aureobasidium proteae,FoliarEndophyte,Natural
5202c68df0068167366946fc5715c851,(f) Themeda triandra Fungi,Fungi,0.482,Phaeoseptoriella zeae,PlantPathogen,Natural
6da9d806cdc896a9d344d5922797935a,(f) Themeda triandra Fungi,Fungi,0.456,Apiospora guangdongensis,PlantPathogen,Natural
fb7b135d869d1e293ed7087cadf50ab2,(f) Themeda triandra Fungi,Fungi,0.561,Epicoccum mnesitheae,PlantPathogen,Restored
fcf701bec0b37d26eaca01060609c805,(f) Themeda triandra Fungi,Fungi,0.533,Pseudopithomyces angolensis,PlantPathogen,Restored
050e2c7ed6f1586882ad0656a5dd2fe6,(f) Themeda triandra Fungi,Fungi,0.506,Microdochium streetiae,PlantPathogen,Restored
5d52e596f701c0d7a345f67346ec7d46,(f) Themeda triandra Fungi,Fungi,0.486,Claviceps loudetiae,PlantPathogen,Restored
73f54dd315262f59b0c481e410d19eff,(f) Themeda triandra Fungi,Fungi,0.43,Aureobasidium xishuangbannaense,LitterSaprotroph,Restored
