Sample	SampleID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession	SitePair
S268_NSW1079767_FWD19	S268_NSW1079767_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079767	SitePair3
S269_NSW1079762_FWD19	S269_NSW1079762_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079762	SitePair3
S271_NSW1079765_FWD19	S271_NSW1079765_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079765	SitePair3
S379f_NSW1079751_FWD21	S379f_NSW1079751_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079751	SitePair3
S381f_NSW1079766_FWD22	S381f_NSW1079766_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079766	SitePair3
S388f_NSW1079756_FWD22	S388f_NSW1079756_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079756	SitePair3
S321f_NSW1093091_FWD17	S321f_NSW1093091_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093091	SitePair1
S325f_NSW1093096_FWD17	S325f_NSW1093096_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093096	SitePair1
S335f_NSW1093066_FWD18	S335f_NSW1093066_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093066	SitePair1
S338f_NSW1093081_FWD18	S338f_NSW1093081_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093081	SitePair1
S339f_NSW1093076_FWD18	S339f_NSW1093076_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093076	SitePair1
S341f_NSW1093061_FWD18	S341f_NSW1093061_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093061	SitePair1
S342f_NSW1093003_FWD18	S342f_NSW1093003_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093003	SitePair1
S344f_NSW1093071_FWD18	S344f_NSW1093071_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093071	SitePair1
S364f_NSW1093106_FWD20	S364f_NSW1093106_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Mambo_Wetlands	Melaleuca_quinquenervia_Mambo_Wetlands	Mambo_Wetlands_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Mambo_Wetlands	North_Coast	Restored	NSW1093106	SitePair1
S322f_NSW1093019_FWD17	S322f_NSW1093019_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1093019	SitePair2
S324f_NSW1093014_FWD17	S324f_NSW1093014_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1093014	SitePair2
S327f_NSW1092968_FWD17	S327f_NSW1092968_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1092968	SitePair2
S328f_NSW1092999_FWD17	S328f_NSW1092999_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1092999	SitePair2
S331f_NSW1093004_FWD17	S331f_NSW1093004_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1093004	SitePair2
S333f_NSW1092994_FWD18	S333f_NSW1092994_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1092994	SitePair2
S347f_NSW1092989_FWD19	S347f_NSW1092989_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1092989	SitePair2
S351f_NSW1092963_FWD19	S351f_NSW1092963_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1092963	SitePair2
S353f_NSW1093009_FWD19	S353f_NSW1093009_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Novocastrian_Reserve	Melaleuca_quinquenervia_Novocastrian_Reserve	Novocastrian_Reserve_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Novocastrian_Reserve	North_Coast	Restored	NSW1093009	SitePair2
S323f_NSW1092986_FWD17	S323f_NSW1092986_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1092986	SitePair3
S326f_NSW1092981_FWD17	S326f_NSW1092981_FWD17	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1092981	SitePair3
S337f_NSW1093095_FWD18	S337f_NSW1093095_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1093095	SitePair3
S340f_NSW1092976_FWD18	S340f_NSW1092976_FWD18	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1092976	SitePair3
S346f_NSW1092971_FWD19	S346f_NSW1092971_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1092971	SitePair3
S362f_NSW1093120_FWD20	S362f_NSW1093120_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1093120	SitePair3
S363f_NSW1092991_FWD20	S363f_NSW1092991_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1092991	SitePair3
S365f_NSW1093100_FWD20	S365f_NSW1093100_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1093100	SitePair3
S366f_NSW1093016_FWD20	S366f_NSW1093016_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Soldiers_Point_Park	Melaleuca_quinquenervia_Soldiers_Point_Park	Soldiers_Point_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Soldiers_Point_Park	North_Coast	Restored	NSW1093016	SitePair3
S299_NSW1079723_FWD22	S299_NSW1079723_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079723	SitePair2
S300_NSW1079708_FWD22	S300_NSW1079708_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079708	SitePair2
S301_NSW1079713_FWD22	S301_NSW1079713_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079713	SitePair2
S302_NSW1079692_FWD22	S302_NSW1079692_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079692	SitePair2
S303_NSW1079703_FWD22	S303_NSW1079703_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079703	SitePair2
S305_NSW1079718_FWD22	S305_NSW1079718_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079718	SitePair2
S306_NSW1079658_FWD22	S306_NSW1079658_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079658	SitePair2
S308_NSW1079697_FWD23	S308_NSW1079697_FWD23	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Tomaree_National_Park	Melaleuca_quinquenervia_Tomaree_National_Park	Tomaree_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Tomaree_National_Park	North_Coast	Natural	NSW1079697	SitePair2
S413f_ITS2	S413f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092935	SitePair6
S414f_ITS2	S414f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092938	SitePair6
S415f_ITS2	S415f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092838	SitePair6
S416f_ITS2	S416f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092940	SitePair6
S417f_ITS2	S417f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092945	SitePair6
S418f_ITS2	S418f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092848	SitePair6
S419f_ITS2	S419f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092944	SitePair6
S420f_ITS2	S420f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Blue_Gum_Point_Yarralumla	Microlaena_stipoides_Blue_Gum_Point_Yarralumla	Blue_Gum_Point_Yarralumla_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Blue_Gum_Point_Yarralumla	Canberra	Restored	NSW1092800	SitePair6
S133_NSW1092671_FWD16	S133_NSW1092671_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092671	SitePair11
S134_NSW1092666_FWD16	S134_NSW1092666_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092666	SitePair11
S135_NSW1092661_FWD16	S135_NSW1092661_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092661	SitePair11
S136_NSW1092656_FWD16	S136_NSW1092656_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092656	SitePair11
S137_NSW1092651_FWD16	S137_NSW1092651_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092651	SitePair11
S138_NSW1092646_FWD16	S138_NSW1092646_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092646	SitePair11
S139_NSW1092641_FWD16	S139_NSW1092641_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092641	SitePair11
S17_NSW1092636_FWD09	S17_NSW1092636_FWD09	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092636	SitePair11
S421f_ITS2	S421f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093056	SitePair7
S422f_ITS2	S422f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093051	SitePair7
S423f_ITS2	S423f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093042	SitePair7
S424f_ITS2	S424f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093047	SitePair7
S425f_ITS2	S425f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093117	SitePair7
S426f_ITS2	S426f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093102	SitePair7
S427f_ITS2	S427f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093112	SitePair7
S428f_ITS2	S428f_ITS2	FALSE	FALSE	Sample	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	Microlaena_stipoides_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1093107	SitePair7
S184_NSW1092491_FWD12	S184_NSW1092491_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092491	SitePair8
S185_NSW1092492_FWD12	S185_NSW1092492_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092492	SitePair8
S186_NSW1092493_FWD12	S186_NSW1092493_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092493	SitePair8
S187_NSW1092494_FWD12	S187_NSW1092494_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092494	SitePair8
S188_NSW1092496_FWD13	S188_NSW1092496_FWD13	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092496	SitePair8
S189_NSW1092498_FWD13	S189_NSW1092498_FWD13	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092498	SitePair8
S190_NSW1092499_FWD13	S190_NSW1092499_FWD13	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092499	SitePair8
S22_NSW1092495_FWD10	S22_NSW1092495_FWD10	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092495	SitePair8
S199_NSW1092638_FWD13	S199_NSW1092638_FWD13	FALSE	FALSE	Sample	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Microlaena_stipoides_Elizabeth_Macarthur_Reserve_Camden	Elizabeth_Macarthur_Reserve_Camden_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	NSW1092638	SitePair9
S200_NSW1092639_FWD14	S200_NSW1092639_FWD14	FALSE	FALSE	Sample	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Microlaena_stipoides_Elizabeth_Macarthur_Reserve_Camden	Elizabeth_Macarthur_Reserve_Camden_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	NSW1092639	SitePair9
S201f_NSW1092640_FWD24	S201f_NSW1092640_FWD24	FALSE	FALSE	Sample	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Microlaena_stipoides_Elizabeth_Macarthur_Reserve_Camden	Elizabeth_Macarthur_Reserve_Camden_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	NSW1092640	SitePair9
