Sample	SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site		SitePair
S359_NSW1092962_FWD23	S359_NSW1092962_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Budgewoi_Dune_Care	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Budgewoi_Dune_Care		SitePair5
S360_NSW1092972_FWD23	S360_NSW1092972_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Budgewoi_Dune_Care	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Budgewoi_Dune_Care		SitePair5
S329_NSW1092843_FWD21	S329_NSW1092843_FWD21	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S332_NSW1093846_FWD21	S332_NSW1093846_FWD21	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S336_NSW1092853_FWD21	S336_NSW1092853_FWD21	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S345_NSW1092948_FWD22	S345_NSW1092948_FWD22	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S352_NSW1092858_FWD23	S352_NSW1092858_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S357_NSW1092949_FWD23	S357_NSW1092949_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S361_NSW1092863_FWD23	S361_NSW1092863_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S367_NSW1092811_FWD24	S367_NSW1092811_FWD24	FALSE	FALSE	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	North_Coast	Restored	Melaleuca_quinquenervia_Restored	Melaleuca_quinquenervia_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair4
S421_16S	S421_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S422_16S	S422_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S423_16S	S423_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S424_16S	S424_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S425_16S	S425_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S426_16S	S426_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S427_16S	S427_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S428_16S	S428_16S	FALSE	FALSE	Microlaena_stipoides	Burrawang_Reserve_Woy_Woy	North Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_North_Coast	Restored_Burrawang_Reserve_Woy_Woy		SitePair7
S89_NSW1092795_FWD11	S89_NSW1092795_FWD11	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S90_NSW1092790_FWD11	S90_NSW1092790_FWD11	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S91_NSW1092810_FWD11	S91_NSW1092810_FWD11	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S92_NSW1092937_FWD11	S92_NSW1092937_FWD11	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S93_NSW1092893_FWD12	S93_NSW1092893_FWD12	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S94_NSW1092785_FWD12	S94_NSW1092785_FWD12	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S95_NSW1092805_FWD12	S95_NSW1092805_FWD12	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
S96_NSW1092956_FWD12	S96_NSW1092956_FWD12	FALSE	FALSE	Themeda_triandra	Catherine_Hill_Revegetation_Area	North_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_North_Coast	Restored_Catherine_Hill_Revegetation_Area		SitePair13
