	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
149	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Pseudoseptoria	062dd526c210c02519cf23c92b557cbb	149
150	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	0908cda00e89f73be7a77ccd53167e3a	150
151	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	0989f2ca6a943c58dad977967f51adf8	151
152	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	09d3693e64a50196bfa5e282290fede2	152
153	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	0a757ede3fee5eaeacc9c8f45042fde2	153
154	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	0b52d0a07a7070e890c60b062e9e481c	154
155	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	0bf90c3f8be857a821d2aa34f74b6482	155
156	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	0c0a13870af216eeddcc7176f7f92870	156
157	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	0c21d9eaff6f563accd80694a10de483	157
158	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromatales_fam_Incertae_sedis	Pseudomicrostroma	0c8b9e71786ea2204c1ed8edee985a20	158
159	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	0ca0ec18affedcee89a17f369e732199	159
160	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Albifimbria	0d18d5ac6e3c5bddf1a50d25e974f68f	160
161	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	0d794e2fb4b081f193f49af7fa36d810	161
162	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales	Xylariales	0e79917eb01f842b5f8aa128509da2a4	162
163	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	0ebc508ba9b79a722fdabb784c1baabc	163
164	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	0f189069cf00714aa60cda5465d840ad	164
165	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	0f735b56db915e10ff74038ae932e8ce	165
166	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	0f91cbf0fdd29fbdce8c8c8263bc0d08	166
167	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	0fe672eceaca4ab22c9bf7dd5235f06e	167
168	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	11cabdc0d158c01f9f790c3de351248e	168
169	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryaceae	130ea9efb7eb1ad770581da22ebda139	169
170	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	1463771627e213c9b297bd9b0cd69652	170
171	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothideaceae	1491f807edc7db384b9e88182be036b6	171
172	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerellaceae	1638972f374c66a015dbbd863a041b23	172
173	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	16f107dc0d49cf29491cb6725e4851b0	173
174	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	17d981bc572842189386470b616e118a	174
175	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	17ea5629533bd406c5802a4950af05c9	175
176	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	181552efc7b511d5688676254482b0b4	176
177	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	183bd70636858654a9dfd564a83358a2	177
178	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	184a28d8ee3118f0e6043afdb83eb3ef	178
179	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Phleogenaceae	Atractidochium	1886969f404865a1fa0169739f5e9d5b	179
180	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	19b26a6c28ea09c17962324e011a25bd	180
181	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	1ab9ce8c2bc51bb4addfb5aa0074867d	181
182	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium	1aba95c7856c2b20424424b195d87741	182
183	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	1aca7570e6ee6061e6b31bc3ee8ac9ee	183
184	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	1aeae59d959680cc00fb9219485556dc	184
185	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	1b37285f664376866063ba31b4f10a42	185
186	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	1b77d3c27056146b833598b306411280	186
187	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	1bb345b475ddbfcf36d4bf82d8739666	187
188	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	1d040f09f06efd5606310604d1db3564	188
189	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Shiraiaceae	Shiraiaceae	1e5ed3706ccf4de4ab6bd4bc2b8e00d1	189
190	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales	Orbiliales	1ee81db36ecccad4e47265fbae74756e	190
191	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	1f0d7f69da253300205d70a8f11f95c3	191
192	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	1f2950083814b92ae23e3ac27aa2e982	192
193	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	1f3b0f533e0f197bf86f65104af49bba	193
194	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	20271c000892318e50e9806e8c7b0936	194
195	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	2166186fb4bd4c395a3515872f995fce	195
196	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	2178bbcbf9b784d3ca377d17fe5c330c	196
197	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	21a4b54c8fca0d857292ce1d4aaaa92e	197
198	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	21df5629f1bc937e81153ddb155aa9ac	198
199	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	23cec02b9762e6ccf804c0bfc9fcf437	199
200	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	23f38ce51a7a86c4cd7175130a4cf42f	200
201	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	243ccdda115774c2e2d58f06b3aab3e4	201
202	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Cylindrium	244cfb6c91e8b62430fa5beaab628a0b	202
203	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	2531d4fe544b32d7f0da1bdc3e99b794	203
204	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	255cd63bae1a39706c8df67ceaf77076	204
205	Fungi	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	26410da02bf8f5038a5508b9bdd90640	205
206	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ramularia	27f6f2cb275451f24cdc53bc431a53f2	206
207	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	29751702cb2702c960142d9bda3ded0f	207
208	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	2adb2ed5be0674d62daf903fe7c340bc	208
209	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	2b4ee8b7c5a35c3170207a27461a676a	209
210	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	2c3578b7eeae4324b1d37303678aa092	210
211	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	2c668c6e985d22dd56bbc9f78c84ca03	211
212	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	2d5b1112f6d5caf7784a66f76f3ada55	212
213	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	2ddd83e700121d0ffa8e94b638ebb9b5	213
214	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Bagadiella	2e56c7dc4c05de801df1656541d884d9	214
215	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	2f818210318afa98647dfd4a74f711b5	215
216	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	303e9ab3e4d83037ad04ac4dc6ac3750	216
217	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	316cd35f6015a50b0813983eeb1b97ef	217
218	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Halotthiaceae	Sulcosporium	31dd8ceec14d383df0e33f922c689c6f	218
219	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	321231bd6655e0a860a337b0be16fabe	219
220	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	32bf13e7aeb3443324b2a03c9e4068e9	220
221	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	35028b2c2b5fcbfa2e95a558026d6b51	221
222	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	36377b5ddd4c43246e740ac429f2783a	222
223	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	37f4e9773238bd185958b4df3a4b2146	223
224	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	394d383aabdc98a2a0837333e455a73b	224
225	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	3950bb313a64e45f6879631ef5f1a18c	225
226	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Quambalariaceae	Quambalaria	3a77885b1b0892f4f3184fbfa568d6cb	226
227	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	3c64c570a53a436ca0372c6d637cc52f	227
228	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	3d9cf4630681c78c1bd6362ab8fcfc45	228
229	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	3dd9248967298f23593342aacc095736	229
230	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	3dff88d2459e1121b7d37566d8e26e35	230
231	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	3ec91b1e27aab6fcc891d8102720eb6a	231
232	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Neophysalospora	41ee319fc4a77b0156df2a9dafee0512	232
233	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	42cd3aba2a645ef055d779bba22224ce	233
234	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	435ffff0e2360a02bef1e19e74f2a7a8	234
235	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	437f0dbab19f6bfe95601749cf46f071	235
236	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	43fa61c28a56883ac3e6bac67a25e3f2	236
237	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	4419f397e3d6ab8731e80b42660006d3	237
238	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	442116aab74f9df3dff56882cd4f8ec3	238
239	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	4435b9b859268c6bc83348c6d013a1eb	239
240	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4447ad4b6210fe1f68ceb5d17399bc09	240
241	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	45885ac3b6aa1c2ea9089b2a9511f50d	241
242	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	458935da1724ec37a2fc104168e51e0e	242
243	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pseudorobillarda	46512b4dda85d22db8888b79ffe4761e	243
244	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	46880d8c22e57c0a977617044710085e	244
245	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	476213535665a1076b2c5457d0699e19	245
246	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	4799bdf26c97e560fd92138232369fba	246
247	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	49c356ae02fedab65704a65ca30ea88f	247
248	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	4b0f32d0ac0ab6c846adb62b27916dae	248
249	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	4b1bc7c1a9ba858698ad5018094dd64f	249
250	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	4b238ce1c064dce4f3c5074cc59d9296	250
251	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	4b63855d295d9ec6ae5f53b5823bf8ef	251
252	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Pseudoseptoria	4b83d6429b390c5419ed73223970fb2a	252
253	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	4be00e1ea352a9f30bceb875b357fa0d	253
254	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	4c3e393d92484653a324e2640e7170af	254
255	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartaliniaceae	4d2a077848d31fb908c2d6b55a1d3f18	255
256	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	4e0b04a007181fcb85c259c51336bced	256
257	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	4f11d0859b79e4b435e107069d4ef152	257
258	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	5057310a04daa3ce44b51bf01eb2e640	258
259	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Pseudoseptoria	524a290c3af922a31db4983ececc3c41	259
260	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysofolia	531c4bcd01b5e12c1c4068cd346e9ee0	260
261	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	532aee6bd453376866b8062768aad674	261
262	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	53743eace6b0c0d039ca99d32a50e182	262
