#ASVID	S321_NSW1093091_FWD20	S322_NSW1093019_FWD20	S323_NSW1092986_FWD20	S324_NSW1093014_FWD20	S325_NSW1093096_FWD20	S326_NSW1092981_FWD20	S327_NSW1092968_FWD20	S328_NSW1092999_FWD21	S329_NSW1092843_FWD21	S330_NSW1092977_FWD21	S331_NSW1093004_FWD21	S332_NSW1093846_FWD21	S333_NSW1092994_FWD21	S335_NSW1093066_FWD21	S336_NSW1092853_FWD21	S337_NSW1093095_FWD21	S338_NSW1093081_FWD21	S339_NSW1093076_FWD21	S340_NSW1092976_FWD22	S341_NSW1093061_FWD22	S342_NSW1093003_FWD22	S343_NSW1092992_FWD22	S344_NSW1093071_FWD22	S345_NSW1092948_FWD22	S346_NSW1092971_FWD22	S347_NSW1092989_FWD22	S348_NSW1093054_FWD22	S350_NSW1092982_FWD22	S351_NSW1092963_FWD22	S352_NSW1092858_FWD23	S353_NSW1093009_FWD23	S354_NSW1092967_FWD23	S355_NSW1092997_FWD23	S356_NSW1092987_FWD23	S357_NSW1092949_FWD23	S358_NSW1092950_FWD23	S359_NSW1092962_FWD23	S360_NSW1092972_FWD23	S361_NSW1092863_FWD23	S362_NSW1093120_FWD23	S363_NSW1092991_FWD23	S365_NSW1093100_FWD24	S366_NSW1093016_FWD24	S367_NSW1092811_FWD24
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0
40	0	0	105	0	0	0	22	0	0	46	21	0	0	0	0	0	0	0	0	40	0	134	0	125	0	0	0	0	48	0	240	13	0	0	0	0	0	0	0	123	560	0	37	0
41	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	51	0	0	21	0	0	0	0	48	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	89	36	0	0	0	6	0	0	0	20	0	0	21	53	0	0	0	0	88	0	21	0	55	0	0	0	0	0	42	0	101	0	14	48
43	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	38	0	17	0	0	94	0	0	0	0	0	0	30	0	0	0	0
44	0	31	0	0	0	43	0	0	12	0	99	12	0	24	0	0	27	25	20	0	0	26	0	0	0	84	0	108	38	121	33	0	0	0	0	26	0	0	59	0	49	44	41	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	48	0	0	0	0	0	0	0	0	20	23	0
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	151	0	0	0
47	0	8	0	0	0	11	0	0	16	21	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0	8	57	0	15	0	0	0	0	0	0	0	0	37	0	34	0
48	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	16	171	12	0	0	0	55	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	82	0	0	0	0	11	0	0	0	0	0	0	0	31	0	0	10	0
50	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	319	0	0	0	0	0	0	51	0	0	0	0
51	0	0	0	0	0	9	0	0	0	11	0	0	0	0	0	0	0	0	0	17	21	12	0	0	0	0	20	40	0	46	0	0	3	0	0	0	0	1	0	0	35	0	0	0
52	0	8	19	0	0	0	4	0	0	16	5	0	0	0	0	0	12	0	0	0	0	85	48	29	5	19	139	0	8	108	0	22	0	0	0	0	0	18	0	0	56	7	53	0
53	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	38	0	0	30	0	0	0	0	0	0	0	0	0	24	17	0	0	0	0	0	0	144	56	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	20	0	0	0
59	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	53	0	0	0	0
60	0	441	0	0	0	54	0	0	18	89	0	30	0	0	0	35	0	0	20	31	0	99	0	0	0	0	0	35	15	525	41	35	407	14	0	0	13	0	23	104	168	0	59	0
61	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	194	0	0	0	19	0	0	22	13	0	0	0
62	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	853	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	65	0	86	0	0	0	57	0	0	0	0	7270	0	319	2284	519	92	0	0	136	6	0	0	158	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	22	0	0	0	0	0	0	0	23	31	0	8	27	11	0
65	0	77	33	29	0	28	0	0	36	32	17	16	21	0	0	40	14	0	41	95	48	56	49	15	47	93	540	57	73	121	32	35	109	14	0	0	0	14	110	37	232	0	108	109
66	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0
67	0	0	44	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	100	13	100	0	0	0	0	113	43	19	0	0	0	79	25	0	0	0	51	0	0	54	0	0	0
68	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	4	0	0	0
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	27	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	41	0	29	0	0	0	0	173	0	0	0	0	0	0	20	0	0	31	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	23	0	0	69	0	0	0	0
72	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	12	0	0	0	61	0	0	0	0	41	185	0	0	0	0	0	0	0	8	50	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	14	0	0	0
75	0	265	27	0	27	0	4	0	0	261	0	56	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	28	102	0	23	26	114	0	0	6	17	0	0	13	107	0	0	0
76	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	8	27	0	0
77	0	43	127	0	0	0	99	0	0	0	0	8	0	0	0	0	0	5	0	0	0	82	0	0	0	7	0	0	60	0	382	1941	33	18	0	0	0	9	0	0	113	0	0	0
78	0	62	0	0	0	33	12	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	69	0	0	0	0	0	127	44	0	237	0	0	0	0	0	0	0	0	0	81	0
79	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	42	0	0	0	0	0	0	0	0	0	0	0	40	0	57	0	0	0	0	0	0	46	5	0	0	0
80	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	109	0	0	0	0	0	0	0	0	59	0	0	0
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	35	34	0	0	0	0	0	49	0	273	0	21	108	0	0	0	0	31	23	99	54	60	0	0
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	10	0	0	4	0	0	0	3186	0	116	0	0	0	1512	0	19	0	43	0	0
83	0	21	178	0	0	0	64	0	0	369	0	28	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	35	1437	0	118	200	3	0	0	0	30	0	0	231	161	0	0	0
84	25	86	21	0	0	37	0	27	26	32	0	0	0	0	0	19	8	0	37	39	23	36	30	0	12	0	34	40	15	355	29	7	85	0	0	0	0	0	11	27	77	0	53	0
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	30	0	0	0	0
86	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
87	0	101	27	0	0	22	0	0	0	22	0	0	0	0	0	21	0	0	23	0	0	33	0	0	0	0	0	21	0	126	0	25	0	0	0	0	0	0	38	23	65	0	28	0
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	0	0	0	20	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	165	0	0	0	0	0	51	0	0	0	0	0
91	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	6	0	0	40	0	0
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0
93	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	27	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	140	0	0	0
97	0	0	0	0	0	35	13	0	0	34	0	0	0	0	0	0	21	0	14	0	0	39	0	0	0	0	0	27	94	148	0	19	69	4	0	0	0	0	0	52	158	0	83	0
98	0	0	7	0	0	0	0	0	0	4	0	0	0	19	0	0	44	31	0	51	0	1	0	38	0	0	0	5	0	3	0	0	7	0	0	0	0	0	0	0	5	0	0	0
99	0	0	0	0	0	13	0	0	0	21	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	24	100	0	0	37	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	14	101	0	0	0	24	0	0	0	0	0	0	0	0	0	92	0	70	0
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	100	0	0	0	0	37
102	0	72	50	0	0	28	0	0	61	127	67	35	0	0	0	0	0	0	16	68	7	173	74	0	22	0	835	172	18	372	0	51	436	58	0	0	0	135	0	54	164	0	71	0
103	0	127	102	0	0	0	75	0	14	153	0	8	378	0	0	0	25	31	40	18	0	21	0	10	0	0	0	63	251	2	37	88	52	0	0	0	0	0	0	61	94	0	15	0
104	10	10098	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	11	674	0	0	0	0
105	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	20	0	60	0	0	97	0	0	0	0	0	0	0	0	0	0	0
106	0	0	123	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	18	0	0	29	212	0	0	0	0	0	0	0	12	182	0	0	0
107	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0
108	0	0	30	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	29	15	0	0	33	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	54	0
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	65	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	185	51	0	197	0	150	0	0	0	0	0	0	65	281	122	0	0	0
111	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	56	0	0	0
112	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	48	0	47	0	59	0	8	90	0	0	0	0	0	0	71	55	0	0	0
113	0	0	100	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
114	0	0	0	0	0	19	0	0	0	11	0	0	0	0	0	10	0	14	0	0	0	51	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	7	52	0	9	0
115	0	647	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	14	0	40	0	0	0	0	0	0	0	107	27	0	886	0	0	0	0	0	0	0	0	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	11	13	0	0	0
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	26	123	0	47	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
118	0	0	223	0	0	0	17	0	0	30	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	23	0	0	0	0
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	68	0	0	0	0	0	0	0	0	0	0	0
120	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	28	0	0	0	0
121	0	15	0	0	0	0	0	0	0	21	33	20	0	0	0	0	14	0	0	0	0	0	0	0	0	22	43	33	17	31	0	19	0	0	0	0	0	26	21	11	114	0	24	0
122	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	63	0	36	0	0	0	0	108	0	76	0	0	94	136	0	0	0	0	0	70	0	139	0	0	0
123	0	685	280	0	0	75	43	45	21	413	0	95	0	0	0	25	0	0	0	0	0	249	0	0	0	0	0	211	270	480	148	106	2355	46	0	0	0	0	0	135	704	0	77	13
124	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	46	0	0	191	0	25	72	0	0	0	0	0	0	0	0	162	0	0	0
125	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	178	0	0	0	0	0	0	13	0	0	0	0
126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
127	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	25	0	0	0	0	0	0	7	0	0	0	18	0	244	0	0	0
128	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	76	0	0	0	0	0	0	0	0	0	0	0
129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	35	0	0	0	0	0	0
130	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	70	279	0	5	0	0	76	0	0	0	0	34	0	17	93	0	0	0
131	0	0	0	0	0	36	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	871	0	0	0	0	0	0	0	0	52	0	0	0	0	110
132	0	0	16	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	195	0	0	0	0	0	0	0	26	15	0	0
133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
137	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	29	0	0	0	0	0	0
138	0	0	0	0	0	0	0	0	0	51	0	9	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	34	0	0	0	0	26	0	0	0	0	13	0	0	45	70	0	0
139	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0
140	0	53	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	29	0	0	0	0	0	0	0	0	0	0	43	35	0	0	0
141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	843	0	0	0	0	0	29	0	57	0	0	0
142	11	1	23	0	0	17	0	0	0	0	0	0	9	0	0	41	0	0	34	19	0	4	0	24	0	30	0	0	18	0	0	0	3	0	0	0	0	3	0	1	0	17	1	0
143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	161
144	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	1002	58	0	26	0	0	0	0	0	120	0	0	51	0	0	0
145	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	93	0	0	0	78	0	0	195	0	0	0	0	0	0	0	15	0	0	0	291	0	0	0
146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0
148	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2526	0	0	0	0	0	0	0	0	118	0	14	0
149	0	0	0	0	0	14	0	0	41	12	34	67	0	0	0	0	16	0	0	0	0	21	71	0	0	0	27	23	0	64	0	30	36	0	0	0	0	187	76	0	76	0	46	0
150	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	472	56	0	0	0	0	53	0	0	0	0	0	0	0	0	0	22	0
151	0	124	73	0	0	0	0	0	0	73	0	0	0	0	0	16	0	0	0	0	0	68	0	37	0	0	62	151	0	117	0	32	600	0	0	0	8	33	0	0	79	0	30	0
152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	40	0	0	0	0	0	99	0	0	0	0	0	0	76	24	0	0	0
153	0	33	0	0	23	43	11	0	49	13	0	0	0	10	0	20	0	14	15	66	11	48	16	0	18	13	166	18	77	121	60	16	44	0	0	0	0	0	18	13	123	0	105	0
154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	26	0	0	0	46	0	0	0	21	0	0	0	0	0	0	0	0	0	26	19	0	18	26
155	0	145	0	0	0	0	58	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0
157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0
158	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	27	53	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	1568	0	7	28	326	0	0	0	0	0	0	0	0	0	0	0
161	0	0	42	0	0	37	0	0	0	80	21	0	0	0	0	0	21	0	0	0	0	0	43	0	0	0	210	61	0	45	0	39	80	0	0	0	0	80	34	0	166	0	93	58
162	0	23	24	0	0	17	0	0	0	21	17	0	0	0	0	12	28	0	0	20	0	38	0	0	0	36	114	45	48	176	0	73	207	0	0	0	0	0	0	121	28	12	0	0
163	0	0	25	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	102	0	0	0	0
164	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	45	17	0	0	0	0	0	0	80	38	0	88	0	0	0	0	0	0	0	0	0	68	0
165	0	40	59	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	32	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	25	0	0	0	0	0	0	0	0	0	0	0
167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	22	0	7	0	0	0	0	0	0	0	43	0	0	0
168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	57	0	0	0	0	0	0	0	0	0	15	0
169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0
170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	75	0	0	8834	0	0	0	0	0	0	0	0	0
171	0	124	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	47	45	0	53	35	15	164	0	0	0	0	45	0	143	159	0	77	0
172	0	43	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	27	0	0	13	92	133	0	0	0	0	0	0	0	0	6	0	0	0	0	39	0	0	0
173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	12	0	0	0	0	0	0	0	0	0	0	0
174	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
175	0	0	761	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	785	0	36	0	0	0	0	0	444	0	0	0	0	0	0	0
176	0	31	31	0	0	21	0	0	0	57	0	0	0	0	0	22	0	0	0	0	35	39	0	0	0	0	30	39	23	50	0	39	311	0	0	0	0	0	0	28	116	0	55	0
177	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	0	45	74	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	153	0	0	67	0	0	0	0	0	24	53	0	0	207	0	0	0
179	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	0	0	34	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	82	21	0	0	0
181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
182	0	0	70	0	0	32	0	0	0	120	0	24	13	0	0	0	0	0	0	0	0	89	0	0	0	0	86	0	138	0	0	28	0	0	0	0	35	0	0	35	98	31	36	0
183	0	0	15	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0
184	0	0	81	0	0	0	26	0	0	19	0	0	0	0	0	0	0	13	0	0	0	65	0	10	0	0	0	44	12	0	247	11	0	0	255	0	0	0	0	0	177	0	50	0
185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0
186	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
