	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
424	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Rosellinia	84955ad8c2fa34395104b4372981d490	424	NonKeystone
425	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	8537e50a5b9ef19a7f636c412fea343a	425	NonKeystone
426	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	86ea832d7024b90780d4e978811fc03e	426	NonKeystone
427	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	87fd020d6062a95869f0f1b7ef7af5df	427	NonKeystone
428	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Phaeomoniellaceae	889e40ed1847b620d1b551526749ac20	428	NonKeystone
429	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	8cbb69c766dfdb989114bb0d1098c764	429	NonKeystone
430	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Rosellinia	8cc20fd55cb59c20fcd556808c6c9d39	430	NonKeystone
431	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	8d45ffa3f30a84874001f832cea2ad2f	431	NonKeystone
432	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae	Coronicium	8dec52f0e22873fc31d6f89599d07a14	432	NonKeystone
433	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	8e47237dda4929c4b9babc1a1b65c74d	433	NonKeystone
434	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Phaeomoniella	90266ef5cab8a485b3f698e0865b1c01	434	NonKeystone
435	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	90e05d3333926ee8560b9c5a503b467c	435	NonKeystone
436	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	936ed71522910d14e4b21ffdedcbcbef	436	Keystone
437	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	938691d218a2027b0c12b04fa1839fec	437	NonKeystone
438	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	991b9f4a09c941e7927ca29b5036174e	438	NonKeystone
439	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	9a94a02572540c5965d01e4709f5bfca	439	NonKeystone
440	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	9bc5332f9b9c8c9037462e0467fdd1e0	440	NonKeystone
441	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	9bcde9055184dc5830294ecc8b6f5a3a	441	NonKeystone
442	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	9ca3105a117897b37ca2a3f811964073	442	NonKeystone
443	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Seiridium	9d90a8ef12dd0e3fd8a40cba8ff3bf72	443	NonKeystone
444	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	9fbcff83ec4b6a92f1ea90aa0c85c057	444	NonKeystone
445	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	a0d13b54fefae2bc7db5ca168ec174c7	445	NonKeystone
446	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	a293ab6bb650098a3b4a29258b035b0f	446	NonKeystone
447	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	a4ad9144918517afecc2c24734faf0a6	447	NonKeystone
448	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	a8f2a221853aaabec9419f297c9d207e	448	NonKeystone
449	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	a9adf7c81b2b93368070e50b348af16a	449	NonKeystone
450	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	ab03f1df554dd006f22f5064a432d046	450	NonKeystone
451	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	acd90b1f80b359616afb7d16dbc6fcd9	451	NonKeystone
452	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Zygosporium	ad2fb02dab42cb48fe1a33ea6c6474c0	452	NonKeystone
453	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	aef88408a60b932ca584e91733cba6c0	453	NonKeystone
454	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	af16991ce12daf846fcbcf604f581dea	454	NonKeystone
455	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	af33509359edff742852085ccb161476	455	NonKeystone
456	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cystostereaceae	Crustomyces	b0c92b482aca0bbdf723d6cec8179d72	456	NonKeystone
457	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	b1700e7f0e92adc360cb3065cd5be12d	457	NonKeystone
